bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00025,-6.083690256023158e-05,-6.565441505929949e-05,-5.87613519738957e-05,-6.635303083668362e-05,-5.3901558909764056e-05,1.0
-9.823483,-4.902327238764302e-05,-5.2948502145105053e-05,-4.7309553984428e-05,-5.351492950716282e-05,-4.334694689286152e-05,1.0
-9.655348,-4.882373784974292e-05,-5.273399581764719e-05,-4.711603528727874e-05,-5.3298198379418324e-05,-4.316847267630095e-05,1.0
-9.490239,-4.8626997635625266e-05,-5.2522497508666096e-05,-4.692522277120308e-05,-5.308450674152862e-05,-4.299248949372069e-05,1.0
-9.318976,-4.8422079851001453e-05,-5.230221250761545e-05,-4.6726474907146424e-05,-5.286193757983221e-05,-4.2809182579849165e-05,1.0
-9.154175,-4.82240718242758e-05,-5.208935966474109e-05,-4.653442466628604e-05,-5.2646877924106565e-05,-4.2632047943728395e-05,1.0
-8.985985,-4.802115011418185e-05,-5.187122911612834e-05,-4.633760436714258e-05,-5.2426486134351384e-05,-4.245050855276118e-05,1.0
-8.821008,-4.782126835555111e-05,-5.1656370730054885e-05,-4.614372838483004e-05,-5.2209400715158756e-05,-4.227167970950772e-05,1.0
-8.649527,-4.761261713569105e-05,-5.143209049381618e-05,-4.5941341897800516e-05,-5.198279609160494e-05,-4.208499532901264e-05,1.0
-8.484471,-4.741091631281811e-05,-5.1215285880340935e-05,-4.57456926607495e-05,-5.176374486166747e-05,-4.190452002935546e-05,1.0
-8.319513,-4.720847424330782e-05,-5.0997689125902074e-05,-4.554931994810231e-05,-5.154389357218366e-05,-4.1723371894629296e-05,1.0
-8.151567,-4.700146942432846e-05,-5.077519289639277e-05,-4.5348516590606115e-05,-5.131909234116583e-05,-4.153813087651962e-05,1.0
-7.986707,-4.6797377729070766e-05,-5.055583264886262e-05,-4.515053438140644e-05,-5.10974598707893e-05,-4.135548660644685e-05,1.0
-7.815007,-4.6583867751710817e-05,-5.032635474044553e-05,-4.49434107599314e-05,-5.0865605238705746e-05,-4.116440291586565e-05,1.0
-7.650382,-4.6378232576600396e-05,-5.010534568893255e-05,-4.474392143121763e-05,-5.064230745884838e-05,-4.098035622709758e-05,1.0
-7.482061,-4.616703368169012e-05,-4.987836225225994e-05,-4.4539029526175194e-05,-5.041297370243104e-05,-4.079131888194365e-05,1.0
-7.317523,-4.595964342044587e-05,-4.9655477387108846e-05,-4.433782738012554e-05,-5.0187781216006455e-05,-4.060567948459277e-05,1.0
-7.145861,-4.5742271561988734e-05,-4.9421870876320494e-05,-4.4126935926362463e-05,-4.995175632996597e-05,-4.04110934427094e-05,1.0
