bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00025,-7.846180705166841e-05,-7.913672054287555e-05,-7.693317346775538e-05,-7.956461917458245e-05,-7.081365923813984e-05,1.0
-9.823483,-6.430952682271407e-05,-6.473115251753745e-05,-6.289750350158441e-05,-6.520536137204874e-05,-5.7844602217705517e-05,1.0
-9.655348,-6.406868344508508e-05,-6.448629703917648e-05,-6.265885215926334e-05,-6.49637283291551e-05,-5.762378681472075e-05,1.0
-9.490239,-6.383115004152064e-05,-6.424481641025767e-05,-6.242348732530223e-05,-6.472540566502547e-05,-5.740600058685755e-05,1.0
-9.318976,-6.358367690759804e-05,-6.399324104001822e-05,-6.217828049260908e-05,-6.447709898229836e-05,-5.7179094941994875e-05,1.0
-9.154175,-6.334448372447699e-05,-6.375009258776752e-05,-6.194128450223425e-05,-6.423708896639404e-05,-5.6959775105524396e-05,1.0
-8.985985,-6.309928855458673e-05,-6.350085259269904e-05,-6.169834843731817e-05,-6.399104477790967e-05,-5.673494566537192e-05,1.0
-8.821008,-6.285770081849709e-05,-6.325528892700243e-05,-6.145899319595759e-05,-6.374860862267294e-05,-5.651341761903998e-05,1.0
-8.649527,-6.26054439167044e-05,-6.299889018260829e-05,-6.120907431137078e-05,-6.349545281369992e-05,-5.628209930053779e-05,1.0
-8.484471,-6.236152181813413e-05,-6.275120787744958e-05,-6.096741960093399e-05,-6.325064841932086e-05,-5.60584169420411e-05,1.0
-8.319513,-6.211663569964909e-05,-6.250311591600712e-05,-6.072481624774226e-05,-6.300486309892891e-05,-5.583384339281276e-05,1.0
-8.151567,-6.186615990154726e-05,-6.224936673089438e-05,-6.047668181276968e-05,-6.275345308341469e-05,-5.5604136135745104e-05,1.0
-7.986707,-6.161913912595309e-05,-6.199912264559306e-05,-6.023197637646559e-05,-6.250549596818716e-05,-5.537758954560779e-05,1.0
-7.815007,-6.136064447730919e-05,-6.173725957172157e-05,-5.997591106949299e-05,-6.224600469259617e-05,-5.5140511393939454e-05,1.0
-7.650382,-6.111161144663095e-05,-6.148498511206662e-05,-5.972922447179462e-05,-6.199599440133641e-05,-5.491210220510917e-05,1.0
-7.482061,-6.085576632012656e-05,-6.122581257378178e-05,-5.9475795810070954e-05,-6.173912664714262e-05,-5.467743574413345e-05,1.0
-7.317523,-6.060446148140003e-05,-6.097124104669102e-05,-5.9226870043486046e-05,-6.148679779923893e-05,-5.444692411145221e-05,1.0
-7.145861,-6.034098296728746e-05,-6.070433807762296e-05,-5.8965891316674366e-05,-6.122222345448555e-05,-5.420523533011682e-05,1.0
-6.98428,-6.0091754119338106e-05,-6.0451868797100344e-05,-5.871903181094311e-05,-6.097193553300117e-05,-5.397660713991121e-05,1.0
-6.819179,-5.983585300247818e-05,-6.019263775706398e-05,-5.8465567780170065e-05,-6.0714922435288e-05,-5.374184686083342e-05,1.0
-6.647633,-5.956861235631024e-05,-5.9921914552343894e-05,-5.8200876365749004e-05,-6.0446491612894155e-05,-5.3496670855233206e-05,1.0
-6.482957,-5.931076076650497e-05,-5.966069504964722e-05,-5.794548785502301e-05,-6.018746106019193e-05,-5.326009535599148e-05,1.0
-6.31455,-5.90457167582605e-05,-5.939217881380852e-05,-5.768297834384308e-05,-5.992117095848893e-05,-5.3016906306672995e-05,1.0
-6.149579,-5.878473669017738e-05,-5.912776628847997e-05,-5.7424495763067905e-05,-5.965892662322351e-05,-5.277743062791688e-05,1.0
-5.978263,-5.851228988585443e-05,-5.8851717250346826e-05,-5.715465724746637e-05,-5.93851164100616e-05,-5.252741540922953e-05,1.0
-5.813587,-5.824900920079066e-05,-5.858493314418693e-05,-5.6893897081245096e-05,-5.912047130755842e-05,-5.2285793080502277e-05,1.0
-5.645335,-5.797857830989034e-05,-5.831087567277599e-05,-5.662605384302641e-05,-5.8848585509582e-05,-5.203758820096495e-05,1.0
