trace_id,winning_model,log_evidence_linear,log_evidence_oml,log_evidence_transitional,Vp_median,Vf_median,Te_median,ne_median
Kr_15sccm_10A,linear,691.4803041322758,549.4618039994156,537.2664864047026,16.712964467599075,9.87068170534595,3.9272911273929583,4142024767309585.0
Kr_15sccm_10A2,linear,691.0603691411587,536.6535029925263,530.3477040990588,17.756460788562787,10.527598635880038,3.985162520344124,4638477335761530.0
Kr_15sccm_11A,linear,719.259858558856,554.0588075535682,548.7686095070299,16.40608356233174,11.314291432561918,2.4024566855720826,7214580460655980.0
Kr_15sccm_12A,linear,698.8648414625515,583.1175242238453,559.5205416834153,15.425595282635015,9.760447463777329,2.452577055092216,8325201963316988.0
Kr_15sccm_12p5A,linear,681.5263962983834,585.7930579013554,563.2652566799844,15.410850728479069,9.589266975476715,2.6795859700866878,7192071112262491.0
Kr_15sccm_13A,linear,713.8279042781759,586.2887684890709,554.1880496690214,15.795240822413234,9.875105614095355,2.4529800604022545,8471641294005407.0
Kr_15sccm_14A,linear,728.2856604384313,587.1189112989139,554.7551306458073,15.795586273636392,9.832523953600974,2.3896028086050634,8935905282717590.0
Kr_15sccm_15A,linear,715.686913390088,566.803902471796,551.4875440526522,15.715638152302239,9.935061063208734,2.4604680981099745,8849196320472236.0
Kr_15sccm_16A,linear,729.6420593889619,554.4711369030329,540.1206307829639,15.30431981963787,10.157296782521142,2.375257472537774,7223242211836611.0
Kr_15sccm_17A,linear,503.6888762631611,475.0558806253948,458.3408867963177,19.969134874411626,10.18510830753952,2.992134477054069,1.11349567925159e+16
Kr_15sccm_17p5A,linear,694.3459508775869,533.9017967272131,517.2598140068359,15.110532904247743,10.268570749280766,2.4655423236088936,7063974127343028.0
Kr_15sccm_18A,linear,734.3672618633111,563.6570391762252,537.6976155967146,16.106506004168303,9.91245285055168,2.7953000728303055,7252744836031984.0
Kr_15sccm_19A,linear,721.1796024959165,558.0597176836015,543.0113730968933,16.262056528567562,9.922878430330167,2.9222854479244447,7519857308735918.0
Kr_15sccm_20A,linear,739.2334565732266,556.6829198510692,539.8381479293569,16.105593610368317,10.063235863265488,2.761447464845203,7547352905160580.0
Kr_15sccm_21A,linear,727.1236274557009,547.1638683346899,533.6648682530908,16.454076093462916,10.255808795651422,2.910936776684588,7710627737311293.0
Kr_15sccm_22A,linear,737.914454041707,541.5640285310097,528.1699870283355,16.46450136586626,10.301417958119565,2.884376083353904,7921381563975111.0
Kr_15sccm_22p5A,linear,746.406743053273,536.0563020269745,521.2276403347353,16.477734608758965,10.549716207847116,2.7641371828118446,8177009113677296.0
Kr_15sccm_23A,linear,757.9042668977456,535.3875107777578,514.797780820736,16.623896131095243,10.458458258826758,2.9451871372628258,8062377628283583.0
Kr_15sccm_24A,linear,735.8091296001372,521.4870514194165,511.018249543829,18.13748607207478,11.90617380918445,3.2950144889539357,7260596912639038.0
Kr_15sccm_25A,linear,741.9493944026345,520.2688743834022,514.2399790777492,17.77766738867693,11.267419204331548,3.547670646513447,6674412410195050.0
Kr_15sccm_27p5A,linear,768.1765093547507,510.16256451084257,499.8745970676199,16.967000487244732,11.094745549484534,2.957100480875735,9178837986681698.0
Kr_15sccm_27p5A2,linear,793.3860158173657,492.7519892091403,483.828505014215,17.65029930444311,11.270112423713709,3.3743308881346654,7374595578007610.0
Kr_15sccm_30A,linear,801.0564850414836,472.0745544185706,463.74801803718543,17.537382350775125,11.165884604474979,3.497098296350493,7648375546124129.0
Zn_15sccm_15A,linear,650.340964164802,521.9137982296679,515.3953357008957,12.300755575556042,6.345242047143454,3.9048978633673865,3845838391413413.0
Zn_15sccm_15A2,linear,656.1043117630832,520.1892626630787,513.9517913847322,12.305995395314717,6.457817245887588,3.864704321021092,4008245947967853.0
Zn_15sccm_15A3,linear,729.8980423888307,561.9551614757022,551.2754477453225,11.292128598010352,6.809691803018212,1.6007587031781525,1.9920100828781956e+16
Zn_15sccm_15A4,oml,386.70201961680283,553.0613580587258,543.5042746651775,10.927063903900631,6.454835556424977,1.440042428643261,2.9169199050329144e+16
