Bias Voltage (V)	Probe Current (A)
-21.000217	-0.000237
-9.823279	-0.000204
-9.654938	-0.000198
-9.489970	-0.000197
-9.318794	-0.000204
-9.153762	-0.000203
-8.985795	-0.000195
-8.820820	-0.000193
-8.648993	-0.000202
-8.484251	-0.000200
-8.319113	-0.000199
-8.151346	-0.000199
-7.986360	-0.000211
-7.815470	-0.000191
-7.650079	-0.000191
-7.481764	-0.000189
-7.317401	-0.000189
-7.145597	-0.000187
-6.983930	-0.000187
-6.818815	-0.000194
-6.647343	-0.000186
-6.482702	-0.000185
-6.314243	-0.000184
-6.149159	-0.000190
-5.977853	-0.000183
-5.813265	-0.000188
-5.644916	-0.000181
-5.480067	-0.000188
-5.315083	-0.000180
-5.143357	-0.000179
-4.978795	-0.000194
-4.810497	-0.000183
-4.645587	-0.000177
-4.473763	-0.000173
-4.309124	-0.000176
-4.141411	-0.000180
-3.976280	-0.000180
-3.811267	-0.000185
-3.643043	-0.000172
-3.479037	-0.000177
-3.306700	-0.000181
-3.141791	-0.000170
-2.973449	-0.000168
-2.808467	-0.000173
-2.637146	-0.000168
-2.471081	-0.000167
-2.307530	-0.000181
-2.139488	-0.000163
-1.974226	-0.000169
-1.802703	-0.000163
-1.637974	-0.000163
-1.469764	-0.000161
-1.304459	-0.000168
-1.133005	-0.000165
-0.968460	-0.000165
-0.804037	-0.000158
-0.635673	-0.000165
-0.470441	-0.000155
-0.302066	-0.000155
-0.137481	-0.000159
0.037971	-0.000147
0.202694	-0.000158
0.371186	-0.000156
0.535544	-0.000154
0.700642	-0.000149
0.872102	-0.000153
1.036734	-0.000147
1.204861	-0.000146
1.369614	-0.000145
1.541338	-0.000150
1.706091	-0.000145
1.874340	-0.000141
2.039559	-0.000139
2.204140	-0.000138
2.375691	-0.000144
2.539279	-0.000136
2.708478	-0.000140
2.873477	-0.000133
3.041420	-0.000132
3.206529	-0.000137
3.378130	-0.000129
3.543157	-0.000128
3.706533	-0.000126
3.876251	-0.000138
4.041043	-0.000121
4.212584	-0.000121
4.377117	-0.000120
4.545082	-0.000123
4.710036	-0.000116
4.881598	-0.000114
5.046835	-0.000112
5.211537	-0.000110
5.379398	-0.000108
5.544570	-0.000106
5.715967	-0.000109
5.880879	-0.000101
6.047390	-9.797849E-5
6.212226	-9.574398E-5
6.380595	-9.117377E-5
6.545490	-9.114378E-5
6.837481	-8.928810E-5
6.881860	-8.697478E-5
7.210506	-8.197641E-5
7.215333	-7.917835E-5
7.380335	-7.701564E-5
7.661802	-7.285624E-5
7.716947	-7.131502E-5
7.884804	-6.669827E-5
8.049552	-6.330036E-5
8.296844	-5.692198E-5
8.477094	-5.150002E-5
8.641623	-4.626396E-5
8.719521	-4.490207E-5
8.884636	-3.511087E-5
9.056469	-3.244892E-5
9.220816	-2.368050E-5
9.432935	-1.626897E-5
9.555931	-9.816167E-6
9.810662	-3.146978E-6
9.873304	5.870194E-6
10.052311	1.549569E-5
10.224086	1.861710E-5
10.388465	3.654977E-5
10.561720	3.972054E-5
10.723151	5.262857E-5
10.894416	7.103685E-5
11.059008	9.182215E-5
11.222928	0.000106
11.391272	0.000128
11.556298	0.000154
11.727374	0.000175
11.892538	0.000194
12.060780	0.000239
12.225784	0.000263
12.397656	0.000285
12.562055	0.000339
12.723887	0.000360
12.895870	0.000445
13.064029	0.000487
13.230536	0.000552
13.395018	0.000613
13.567998	0.000685
13.733393	0.000791
13.902929	0.000821
14.066191	0.000860
14.224286	0.000875
14.398344	0.000981
14.569371	0.000943
14.737482	0.001097
14.903196	0.001209
15.075599	0.001356
15.239770	0.001383
15.408796	0.001503
15.575205	0.001517
15.738482	0.001734
15.909623	0.001757
16.073637	0.001799
16.247374	0.001917
16.411556	0.001974
16.578262	0.002043
16.743311	0.002025
16.917273	0.002184
17.082853	0.002250
17.251411	0.002305
17.416410	0.002365
17.581926	0.002375
17.753883	0.002475
17.918919	0.002515
18.087130	0.002515
18.254499	0.002633
18.426212	0.002599
18.590355	0.002701
18.759930	0.002774
18.924173	0.002789
19.089495	0.002796
19.261406	0.002883
19.424458	0.002886
19.594748	0.002951
19.760504	0.002972
19.928879	0.003040
20.094751	0.003012
20.267975	0.003047
20.432472	0.003077
20.598778	0.003076
20.765642	0.003220
20.931087	0.003206
21.103359	0.003237
21.269901	0.003244
21.436623	0.003221
21.603697	0.003365
21.775576	0.003367
21.941315	0.003295
22.105701	0.003380
22.273720	0.003391
22.440025	0.003439
22.611506	0.003493
22.775122	0.003454
22.943789	0.003459
23.111523	0.003654
23.279856	0.003396
23.443928	0.003543
23.611328	0.003535
23.782522	0.003622
23.948650	0.003616
24.115993	0.003721
24.281860	0.003732
24.453386	0.003784
24.618589	0.003680
24.788406	0.003803
24.953283	0.003799
25.117432	0.003811
25.289286	0.003845
25.455406	0.003884
25.623985	0.003822
25.789743	0.003934
25.962900	0.003941
26.124796	0.003732
26.294992	0.003979
26.460758	0.004071
26.625469	0.004018
26.793762	0.003958
26.957357	0.004072
27.130806	0.003998
27.294485	0.004091
27.464369	0.004122
27.627234	0.004048
27.800323	0.004180
27.965040	0.004180
28.129620	0.004093
