Bias Voltage (V)	Probe Current (A)
-21.000351	-0.000909
-9.824279	-0.000714
-9.656072	-0.000709
-9.491242	-0.000706
-9.319562	-0.000700
-9.154713	-0.000688
-8.986787	-0.000702
-8.821690	-0.000700
-8.650146	-0.000697
-8.484995	-0.000694
-8.320182	-0.000690
-8.152253	-0.000688
-7.987154	-0.000685
-7.815486	-0.000683
-7.651024	-0.000679
-7.482657	-0.000676
-7.317932	-0.000673
-7.146485	-0.000669
-6.984602	-0.000666
-6.819645	-0.000662
-6.648039	-0.000658
-6.483415	-0.000654
-6.314946	-0.000651
-6.149992	-0.000646
-5.978604	-0.000643
-5.813864	-0.000640
-5.645640	-0.000635
-5.480702	-0.000631
-5.315722	-0.000627
-5.144032	-0.000624
-4.979477	-0.000620
-4.811145	-0.000616
-4.646178	-0.000612
-4.474621	-0.000607
-4.310002	-0.000604
-4.142085	-0.000600
-3.977115	-0.000597
-3.812067	-0.000593
-3.643685	-0.000589
-3.478718	-0.000585
-3.307541	-0.000581
-3.142501	-0.000577
-2.974017	-0.000572
-2.809110	-0.000568
-2.637671	-0.000564
-2.473126	-0.000561
-2.308249	-0.000556
-2.139827	-0.000552
-1.974818	-0.000548
-1.803499	-0.000543
-1.638652	-0.000539
-1.470341	-0.000536
-1.305192	-0.000531
-1.133598	-0.000527
-0.968803	-0.000522
-0.804260	-0.000518
-0.636070	-0.000515
-0.471042	-0.000511
-0.302640	-0.000508
-0.137986	-0.000503
0.037484	-0.000499
0.202195	-0.000496
0.370634	-0.000491
0.535244	-0.000486
0.700289	-0.000482
0.871725	-0.000478
1.036335	-0.000473
1.204632	-0.000469
1.369303	-0.000464
1.540942	-0.000460
1.706068	-0.000455
1.874243	-0.000451
2.039330	-0.000445
2.203858	-0.000441
2.375284	-0.000436
2.540419	-0.000431
2.708375	-0.000426
2.873227	-0.000421
3.041281	-0.000417
3.206285	-0.000412
3.377781	-0.000407
3.543012	-0.000402
3.707558	-0.000397
3.875937	-0.000392
4.040788	-0.000387
4.212407	-0.000381
4.376952	-0.000376
4.544889	-0.000371
4.709813	-0.000365
4.881412	-0.000359
5.046488	-0.000354
5.211465	-0.000348
5.379333	-0.000342
5.544391	-0.000336
5.716007	-0.000330
5.880882	-0.000324
6.048882	-0.000317
6.213577	-0.000310
6.381823	-0.000304
6.546918	-0.000297
6.711848	-0.000290
6.883374	-0.000283
7.048147	-0.000275
7.216461	-0.000267
7.381444	-0.000259
7.553063	-0.000251
7.717661	-0.000242
7.885522	-0.000233
8.050522	-0.000225
8.215663	-0.000216
8.387168	-0.000207
8.551883	-0.000197
8.719998	-0.000189
8.885218	-0.000178
9.056791	-0.000168
9.221709	-0.000157
9.389538	-0.000145
9.554479	-0.000134
9.719394	-0.000122
9.887647	-0.000110
10.052549	-0.000101
10.222272	-8.836701E-5
10.388254	-7.326675E-5
10.556190	-6.012270E-5
10.721094	-4.569385E-5
10.893431	-2.994491E-5
11.058063	-1.480266E-5
11.219827	-4.663154E-6
11.391134	1.122278E-5
11.556700	2.870425E-5
11.728297	4.805344E-5
11.893382	6.736648E-5
12.062308	8.751002E-5
12.225892	0.000101
12.397589	0.000127
12.562155	0.000150
12.723702	0.000171
12.895605	0.000198
13.061136	0.000224
13.230013	0.000250
13.395021	0.000277
13.567446	0.000309
13.732777	0.000340
13.901523	0.000373
14.067091	0.000405
14.232420	0.000439
14.404391	0.000479
14.569601	0.000514
14.738470	0.000564
14.903384	0.000601
15.075871	0.000646
15.241658	0.000692
15.410003	0.000739
15.575492	0.000790
15.740669	0.000836
15.912813	0.000911
16.074589	0.000995
16.245342	0.000974
16.410778	0.001050
16.579220	0.001126
16.744785	0.001193
16.916859	0.001274
17.082275	0.001339
17.250996	0.001413
17.416210	0.001481
17.581821	0.001552
17.753763	0.001621
17.918694	0.001691
18.087574	0.001740
18.252512	0.001812
18.424669	0.001874
18.590252	0.001931
18.758959	0.001991
18.924137	0.002049
19.089342	0.002106
19.261732	0.002164
19.423689	0.002201
19.595516	0.002284
19.760683	0.002350
19.929670	0.002371
20.094931	0.002333
20.267073	0.002347
20.432524	0.002374
20.597687	0.002400
20.766443	0.002452
20.931967	0.002478
21.104141	0.002528
21.268923	0.002548
21.437357	0.002599
21.602842	0.002623
21.774872	0.002672
21.940344	0.002712
22.105785	0.002738
22.274206	0.002771
22.439686	0.002806
22.611734	0.002851
22.773855	0.002873
22.945463	0.002919
23.110769	0.002934
23.279484	0.002961
23.445124	0.003000
23.610432	0.003036
23.782068	0.003077
23.947447	0.003085
24.116316	0.003146
24.281805	0.003146
24.453821	0.003189
24.618895	0.003204
24.787062	0.003195
24.952677	0.003205
25.118202	0.003250
25.290089	0.003264
25.455065	0.003292
25.624119	0.003352
25.789404	0.003343
25.961437	0.003362
26.123295	0.003378
26.295012	0.003433
26.460630	0.003480
26.625532	0.003498
26.793821	0.003519
26.958349	0.003561
27.129910	0.003585
27.295000	0.003598
27.463249	0.003608
27.628275	0.003639
27.799763	0.003675
27.964691	0.003679
28.129087	0.003705
28.297581	0.003743
28.462553	0.003756
28.633488	0.003784
28.798388	0.003803
28.966923	0.003816
29.132067	0.003842
29.300076	0.003866
29.464792	0.003895
29.629826	0.003901
29.801357	0.003925
29.965759	0.003948
30.133778	0.003989
