bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.00042,,,,,,0.0
-9.823649,-0.00038487706634151946,-0.00039083462627973863,-0.00038081389534578853,-0.0004021898012294933,-0.0003773007043263463,1.0
-9.655508,-0.0003832418907490546,-0.0003891374338257641,-0.00037924854773771494,-0.00040031492905480973,-0.0003758417993789769,1.0
-9.490522,-0.00038163739502234463,-0.00038747208573963873,-0.0003777125660978411,-0.00039847523342755677,-0.0003744102609900375,1.0
-9.319269,-0.00037997194916843856,-0.0003857434768589644,-0.0003761182323480209,-0.00039656565223232466,-0.00037292433509743305,1.0
-9.154605,-0.00037841220231592124,-0.00038408137358429543,-0.0003745852319701003,-0.0003947295363211438,-0.0003714955685330286,1.0
-8.986631,-0.00037680882002418594,-0.0003823858559156709,-0.00037302140496666347,-0.00039285650467543227,-0.00037003806724172396,1.0
-8.821466,-0.0003752262540296814,-0.0003807186877366883,-0.00037146921605560253,-0.0003910147872114056,-0.00036860492187162263,1.0
-8.649959,-0.0003735809425846232,-0.0003789874981586059,-0.00036984913781466214,-0.000389102341301115,-0.0003671167227015561,1.0
-8.484796,-0.00037201449174823934,-0.0003773203382324034,-0.0003682889670977507,-0.0003872606244487001,-0.0003656835461310019,1.0
-8.3193,-0.00037044486132271757,-0.00037564980914236133,-0.0003667256295157215,-0.0003854151805866726,-0.00036424745098366176,1.0
-8.152064,-0.0003688545712380259,-0.0003739617066592863,-0.0003651458296636643,-0.0003835503173244741,-0.0003627962222802445,1.0
-7.98709,-0.00036723985805888436,-0.0003722964255977134,-0.00036371697930093357,-0.000381710655753757,-0.0003613645828313066,1.0
-7.815376,-0.0003655591533282281,-0.0003705630946412146,-0.0003622221599048071,-0.00037979580778428216,-0.00035987440357561313,1.0
-7.650631,-0.0003639466333819301,-0.000368900093997483,-0.00036081834981212355,-0.0003779586436633962,-0.00035844464431503055,1.0
-7.482805,-0.0003623177490435939,-0.00036720597159853617,-0.00035938821852532266,-0.0003760870864930393,-0.00035698806960696454,1.0
-7.317937,-0.00036071954664368514,-0.00036553128768136587,-0.0003579401134286315,-0.0003742014686615318,-0.0003555570875445576,1.0
-7.14607,-0.0003590534622256426,-0.0003637734045711981,-0.0003564138051275703,-0.0003722331935951428,-0.00035406526018814813,1.0
-6.98464,-0.0003574885153138323,-0.00036212222681039733,-0.00035492989380374865,-0.00037038443061870326,-0.0003526639218014492,1.0
-6.819374,-0.000355951185666336,-0.00036043656807939397,-0.0003533425437134144,-0.0003684917165211985,-0.0003512291627826439,1.0
-6.648099,-0.00035436551320897465,-0.0003587466497499285,-0.00035169738879422635,-0.00036653015805739806,-0.0003497261344014495,1.0
