energy_ev,eedf_m3_ev_median,eedf_m3_ev_q16,eedf_m3_ev_q84,eedf_m3_ev_q2.25,eedf_m3_ev_q97.75,eedf_m3_ev_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0949808818273344,3585061171148664.5,3439247033848579.0,3803854712084376.0,3190810963395231.0,4194529862011300.5,1.0
0.1899617636546688,5069811450110186.0,4863623326053579.0,5379063588964527.0,4512362394922167.0,5930852933333217.0,1.0
0.2849426454820032,6208506568054548.0,5956063558044073.0,6586865384678998.0,5526084318442699.0,7261015652670250.0,1.0
0.3799235273093376,7167418973585032.0,6876118579934225.0,7603628868993662.0,6380068842135528.0,8379178878532698.0,1.0
0.474904409136672,8010660808891403.0,7685342971236511.0,8497357977926728.0,7131488335328163.0,9360059501633182.0,1.0
0.5698852909640064,8770854108252526.0,8415089409944554.0,9302671130475554.0,7809491683096802.0,1.0241600602052622e+16,1.0
0.6648661727913407,9467144605673450.0,9083788768627560.0,1.0039911567162686e+16,8431235671951234.0,1.1046038326654994e+16,1.0
0.7598470546186752,1.0111793943121722e+16,9703273370381304.0,1.0722139686786622e+16,9007751175183672.0,1.178760835935417e+16,1.0
0.8548279364460096,1.0713123314430762e+16,1.0281600188423286e+16,1.1358254547174936e+16,9546562182589120.0,1.247598527327581e+16,1.0
0.949808818273344,1.127701034346492e+16,1.0824486181254642e+16,1.1954580547692706e+16,1.00530172540361e+16,1.3118030215492564e+16,1.0
1.0447897001006783,1.1807724301633412e+16,1.1332822056613086e+16,1.2523452103056948e+16,1.053103211828646e+16,1.3718765109094894e+16,1.0
1.1397705819280128,1.2308426042233178e+16,1.1811741607677642e+16,1.3046820010179312e+16,1.0983533877252796e+16,1.4281954989461428e+16,1.0
1.2347514637553472,1.2781484297863e+16,1.2264084162992018e+16,1.3533139631948016e+16,1.1412741770776834e+16,1.4810475738445404e+16,1.0
1.3297323455826815,1.3228685052710154e+16,1.2691635615441586e+16,1.4005463523591002e+16,1.1820352769622456e+16,1.5306556857160298e+16,1.0
1.424713227410016,1.3651375498888538e+16,1.3095767279447524e+16,1.446359705392304e+16,1.2207668937168648e+16,1.5771947763350258e+16,1.0
1.5196941092373504,1.4050566303098122e+16,1.3469364459584534e+16,1.48989195225954e+16,1.2575687675833848e+16,1.6221729056057572e+16,1.0
1.6146749910646847,1.4427006376858152e+16,1.384691248348103e+16,1.531719977216117e+16,1.2925167491677976e+16,1.6663466882165604e+16,1.0
1.7096558728920193,1.4777526320251604e+16,1.4191501844703444e+16,1.5716146268821316e+16,1.3256677132379192e+16,1.7081242431615588e+16,1.0
1.8046367547193536,1.5120679116064532e+16,1.4500136951755486e+16,1.6095283641018524e+16,1.357063314638592e+16,1.7475671279189792e+16,1.0
1.899617636546688,1.5445727752151842e+16,1.4786341134927378e+16,1.6444992924256154e+16,1.3867329200655638e+16,1.7847220764537918e+16,1.0
1.9945985183740225,1.5768819389445812e+16,1.5051886718131848e+16,1.6776570600188774e+16,1.414695941886803e+16,1.8196239665670704e+16,1.0
2.0895794002013566,1.6075434299318512e+16,1.5297037167871512e+16,1.7082252353280296e+16,1.4409637306584872e+16,1.852298208687818e+16,1.0
2.1845602820286913,1.6363605010983808e+16,1.5522003856558462e+16,1.736778961905628e+16,1.465541136890496e+16,1.882762699085667e+16,1.0
2.2795411638560257,1.6618204890120602e+16,1.5726959395030692e+16,1.7635722450129996e+16,1.4884278213794036e+16,1.911029440116005e+16,1.0
2.37452204568336,1.68281059348808e+16,1.5912048746216556e+16,1.7888638255776102e+16,1.5096193718278812e+16,1.9371059022301304e+16,1.0
