bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000345,,,,,,0.0
-9.823626,-0.00047713917710400113,-0.0004799390718788714,-0.0004736452848438449,-0.0004833975894966968,-0.000469981603509029,1.0
-9.655531,-0.00047493125948481465,-0.00047764902814382063,-0.00047146569108111645,-0.00048113664222357777,-0.0004678308192160107,1.0
-9.490572,-0.0004727423470793881,-0.00047531854139572444,-0.00046932675901571855,-0.00047892232220536716,-0.00046572015808754347,1.0
-9.319221,-0.0004704551405076019,-0.0004728928504570609,-0.0004671049442823367,-0.0004766221988440405,-0.0004635277085029534,1.0
-9.15423,-0.00046826998933231377,-0.00047057240677369236,-0.0004649655948944395,-0.0004744074479720259,-0.0004614166327385953,1.0
-8.986359,-0.00046604669452144786,-0.00046823646919126366,-0.0004627889002645017,-0.0004721540366465809,-0.00045926870373882804,1.0
-8.821253,-0.0004638858075316389,-0.0004659390067364516,-0.00046064805610693005,-0.00046993774016612107,-0.00045715614962502955,1.0
-8.64983,-0.00046165746089453773,-0.0004635579064766779,-0.0004584253004389997,-0.000467636646260491,-0.00045496276422260485,1.0
-8.484712,-0.0004594931861019427,-0.0004612957785483469,-0.0004562842954965984,-0.0004654201858565022,-0.00045285004717829787,1.0
-8.319774,-0.0004572998738323921,-0.00045907071992432323,-0.00045414562151263317,-0.00046320613983560617,-0.0004507396276285392,1.0
-8.151892,-0.00045506741187800406,-0.00045685070653289075,-0.000451968770471782,-0.0004609525727416312,-0.00044859153261314996,1.0
-7.986666,-0.00045286344441714357,-0.00045466581492025106,-0.0004498263537349594,-0.00045873465579617466,-0.0004464774138363907,1.0
-7.815137,-0.00045056903995584284,-0.00045239757427866943,-0.00044760220326755536,-0.0004564321269167595,-0.00044428263722812487,1.0
-7.65058,-0.0004483678922138814,-0.00045022152857769436,-0.00044546848645570387,-0.00045422318308540466,-0.00044217706005349097,1.0
-7.482308,-0.0004461234066176356,-0.00044801694359701007,-0.00044329123287859153,-0.00045196436589016995,-0.0004400239358478273,1.0
-7.317546,-0.0004439607514454049,-0.0004458464537306427,-0.0004411593851900841,-0.0004497526599048611,-0.0004379157107924187,1.0
-7.146119,-0.0004417698270401074,-0.000443540583519502,-0.0004389325275439897,-0.0004474514783568936,-0.0004357221871123335,1.0
-6.984317,-0.0004396560075316298,-0.00044136417698043386,-0.0004367672417962568,-0.0004452794917308618,-0.0004336518046308732,1.0
-6.819333,-0.0004373796451409626,-0.00043914496600517216,-0.0004346126117037165,-0.0004430647814181018,-0.000431540685725566,1.0
-6.64783,-0.00043506659239029796,-0.00043683806341400175,-0.00043237283718367643,-0.00044076254958433456,-0.00042934612666743917,1.0
-6.483104,-0.0004328760666371586,-0.0004346310247682244,-0.0004302215577610331,-0.0004385512774133722,-0.00042723825953124164,1.0
-6.314687,-0.00043063645011972174,-0.0004324547148016504,-0.00042802206246749495,-0.00043629044111320904,-0.0004250831287111391,1.0
-6.149655,-0.000428441838372667,-0.00043032213544598203,-0.0004258667607352285,-0.0004340750259273688,-0.00042297128009444255,1.0
-5.978231,-0.00042616221355994697,-0.00042808913082982667,-0.0004236279620786346,-0.00043177378007951004,-0.00042077759259261403,1.0
-5.813574,-0.0004239725643643984,-0.00042590733296283016,-0.0004214775201706523,-0.0004295633491139336,-0.0004186704526868326,1.0
-5.645447,-0.00042173675426003656,-0.0004237055029771431,-0.00041928173595074037,-0.00042730630313643405,-0.0004165188535437225,1.0
-5.480477,-0.00041951829465410755,-0.0004215746829697876,-0.0004171271547944082,-0.0004250916012417804,-0.0004144075961251202,1.0
-5.315321,-0.00041729158749910446,-0.0004194444611353816,-0.00041498318406591714,-0.00042287435874980835,-0.0004122938851915281,1.0
-5.143728,-0.00041497808552479567,-0.000417231068729734,-0.0004127647886073775,-0.00042057064498481685,-0.00041010856666005916,1.0
