bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000607,,,,,,0.0
-9.824518,-0.00048712422920680053,-0.0005102626952592961,-0.0004721631785327523,-0.0005157004464524668,-0.0004686439729595942,1.0
-9.655268,-0.00048616436605549503,-0.0005085629159677571,-0.0004717682474322169,-0.0005139538112718104,-0.0004681667990131491,1.0
-9.490798,-0.00048519982964995915,-0.0005068839994803027,-0.0004713603537358794,-0.0005125017640931588,-0.00046766987239806594,1.0
-9.319905,-0.0004841605696663044,-0.0005051194230866965,-0.0004708796834876203,-0.0005109430006368111,-0.00046711423537553544,1.0
-9.154963,-0.00048302111803572305,-0.0005033841679259996,-0.0004703864639003839,-0.0005094231747616519,-0.00046654944754588134,1.0
-8.987119,-0.0004822071320782253,-0.000501594485524223,-0.0004698284427399424,-0.0005078162680486935,-0.0004659251270915591,1.0
-8.82201,-0.0004810786887078823,-0.0004998075145668712,-0.0004692458379329536,-0.000506221407785314,-0.0004652883562025345,1.0
-8.650618,-0.00047964581959204756,-0.000497916747544874,-0.00046858253018393153,-0.0005045040207155123,-0.00046456452958453946,1.0
-8.485548,-0.0004782281323539437,-0.0004961723052675755,-0.00046790347792301283,-0.0005028263127838259,-0.0004638513689966817,1.0
-8.320951,-0.0004767748840544385,-0.0004944661780315942,-0.00046717305913693014,-0.0005011015622212231,-0.0004630660574710083,1.0
-8.152939,-0.00047534894955578177,-0.0004927007233909338,-0.0004664615748114777,-0.0004993056927398553,-0.00046225410154262283,1.0
-7.987851,-0.0004739617530741299,-0.0004909232395427951,-0.00046571354743766115,-0.0004974953935549486,-0.00046137308258862095,1.0
-7.815532,-0.0004724453056245228,-0.0004890320632009856,-0.0004648648328076986,-0.0004955550143128516,-0.00046043753630853595,1.0
-7.651787,-0.00047104911617262975,-0.00048720098954544165,-0.00046401437906550035,-0.0004936748149732704,-0.0004594700928361998,1.0
-7.48402,-0.0004696872319719771,-0.00048527533514791877,-0.00046287465553237524,-0.0004916837439787145,-0.00045845403960975716,1.0
-7.318838,-0.0004683308180951385,-0.00048335435210600713,-0.00046154405069591273,-0.0004896965641885593,-0.0004573779592889579,1.0
-7.147948,-0.0004668970958797927,-0.0004812518225816571,-0.0004600072834469917,-0.00048755809159173937,-0.00045579418228314933,1.0
-6.985595,-0.00046538400554322235,-0.0004790638393375721,-0.0004584805743557177,-0.00048551080559905554,-0.00045417046522616385,1.0
-6.820594,-0.00046376123875251204,-0.00047682625927993847,-0.00045688854377842444,-0.0004833331526016705,-0.0004524396382063689,1.0
-6.649007,-0.00046199367986213773,-0.0004744203212059749,-0.00045516934320659705,-0.0004810525062476102,-0.0004506089486448894,1.0
-6.48479,-0.00046021757973050467,-0.0004718618827897524,-0.0004535035301350905,-0.0004787747183567407,-0.00044876748825880256,1.0
-6.316916,-0.00045811979280041386,-0.00046931121100927503,-0.0004516987164928718,-0.00047641987944776175,-0.00044684989679177466,1.0
-6.151741,-0.0004561025919757278,-0.00046739097233300636,-0.00044990142202452476,-0.0004740160036458906,-0.000444880877501328,1.0
-5.978767,-0.000454005726337122,-0.00046475261409381906,-0.0004478944267956198,-0.00047145181332494885,-0.00044276386394432633,1.0
-5.815126,-0.00045197232274240726,-0.0004620247754489427,-0.0004460150177488876,-0.00046929562004140797,-0.00044069044223566425,1.0
-5.64676,-0.00044953416539729907,-0.0004592001992052407,-0.00044398604630455465,-0.00046712054274793884,-0.00043848566536841706,1.0
-5.48302,-0.0004470359017111578,-0.00045638856992006986,-0.0004419702698623285,-0.00046497706458972863,-0.00043628206485976054,1.0
-5.317944,-0.0004446809427031747,-0.00045362833703508075,-0.00043973469521165864,-0.0004626962315679376,-0.0004339290619065909,1.0
-5.145318,-0.00044260750450631696,-0.0004508207957351518,-0.00043730789556040573,-0.0004602657874772885,-0.0004313467301029463,1.0
-4.981376,-0.00044060904089009584,-0.0004483690228065215,-0.0004349299665327659,-0.00045784484475445167,-0.0004288209474745334,1.0
-4.813667,-0.0004384171535207861,-0.0004458001755169832,-0.0004324810274081147,-0.00045531166965532454,-0.00042616096787111753,1.0
-4.647001,-0.0004361958486033526,-0.0004432415701278917,-0.0004298535994814982,-0.0004526845990148383,-0.00042342415063272184,1.0
-4.476842,-0.00043378348940903373,-0.0004402397804361092,-0.00042699920025809066,-0.00044992778210321827,-0.0004209123668826155,1.0
-4.310641,-0.00043130168367977684,-0.00043721955552509536,-0.00042410063061427034,-0.00044713407028692766,-0.0004181329864494589,1.0
-4.143813,-0.0004282326730995192,-0.00043413540786043893,-0.00042088791934109516,-0.00044449183613181996,-0.00041517557280117606,1.0
-3.977855,-0.0004249886693890784,-0.000430956024702142,-0.0004175926162951466,-0.0004417279797902437,-0.00041211142000031924,1.0
-3.814956,-0.0004216348409029387,-0.00042777504467184595,-0.0004147299443448727,-0.00043897035024432297,-0.0004090440657869695,1.0
-3.645361,-0.00041806963681139384,-0.0004244361317244453,-0.0004115740355955276,-0.00043592639590489025,-0.00040573730989381556,1.0
-3.481251,-0.00041475953480456544,-0.00042116027712841176,-0.00040835117293022325,-0.0004329240802088289,-0.0004024521055770628,1.0
-3.308608,-0.0004114092273112495,-0.0004172689077170294,-0.00040478440750447064,-0.00042959232608168993,-0.00039890068312342755,1.0
-3.144454,-0.00040810855969750673,-0.00041358852631149265,-0.00040127016760183384,-0.00042635157681327737,-0.0003954050951313045,1.0
-2.976245,-0.0004041789400607258,-0.0004098492370724801,-0.0003974048298178088,-0.00042286932564877117,-0.0003917573291322423,1.0
-2.810767,-0.0004002246014505637,-0.0004060505675197276,-0.00039366597918560447,-0.00041935776991841416,-0.0003880168674805547,1.0
-2.640523,-0.0003960906701359506,-0.00040206635960929885,-0.00038979652906007736,-0.0004155856393901603,-0.00038412493743109527,1.0
-2.474443,-0.00039216509050327684,-0.00039812385781585845,-0.00038602218159318236,-0.00041180250955989435,-0.00038014193668192524,1.0
-2.310322,-0.00038822596933914,-0.0003941145398668055,-0.00038210891098394185,-0.00040791825098717436,-0.00037606472972661346,1.0
-2.142024,-0.00038402262192213573,-0.00038991511641259426,-0.0003777314939341535,-0.0004038190156849881,-0.0003714198305249939,1.0
