bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-20.999603,,,,,,0.0
-9.824414,-0.00045364222318459096,-0.000466484408034314,-0.0004462721104863192,-0.00048029119783951174,-0.00043730687261145634,1.0
-9.654933,-0.000453181132051085,-0.0004651914471548751,-0.00044612538849017743,-0.0004789459161775794,-0.00043720562827462544,1.0
-9.490502,-0.0004527183140788444,-0.00046416507549609467,-0.0004462462679538197,-0.0004776229198181112,-0.0004371283325111394,1.0
-9.318692,-0.0004523870010716973,-0.0004631700760676132,-0.00044617667948586385,-0.00047622902284245877,-0.0004375034826151111,1.0
-9.154216,-0.00045228127929717107,-0.00046220271673292506,-0.0004457751750086629,-0.0004748761497195192,-0.00043784026448053046,1.0
-8.98793,-0.00045185358730745093,-0.0004612074179691048,-0.0004453449627761778,-0.0004734895784548255,-0.00043813770621883933,1.0
-8.822032,-0.0004513904046934755,-0.0004603147015139764,-0.00044489648913538336,-0.00047209386684945613,-0.0004383916861411282,1.0
-8.650489,-0.0004508971260323831,-0.00045939257323798565,-0.00044432972070299103,-0.0004706248186349111,-0.0004386137606690434,1.0
-8.485585,-0.0004503861187026779,-0.0004584859044903555,-0.0004437609817777855,-0.00046919311753480276,-0.00043828493513143897,1.0
-8.320689,-0.0004496061732057685,-0.0004575617087477338,-0.00044341243303636064,-0.0004677476318929097,-0.00043793457959119796,1.0
-8.15271,-0.0004487323297624274,-0.00045659218285285555,-0.00044287048027704155,-0.0004662425603951526,-0.0004375432811857873,1.0
-7.987838,-0.0004478322831028104,-0.0004556195978500708,-0.0004423059978075737,-0.0004647465268207193,-0.00043695478806683404,1.0
-7.817072,-0.0004468770375952104,-0.0004545902140688425,-0.00044152387922790775,-0.0004631775569210296,-0.0004358451376500504,1.0
-7.651528,-0.00044592526341503545,-0.0004535582291067285,-0.00044048752156455585,-0.0004616194357199544,-0.00043475425261111554,1.0
-7.483392,-0.000445280712665863,-0.000452486712931901,-0.00043983303329880543,-0.00046001634490820453,-0.00043362572983943686,1.0
-7.318791,-0.0004442079241390811,-0.0004514102100201774,-0.0004395950925347176,-0.00045842169961579177,-0.00043249320928091323,1.0
-7.147186,-0.00044285040732929475,-0.00045027556781354345,-0.0004387851357459991,-0.0004569047531777316,-0.00043157973750356063,1.0
-6.986206,-0.0004419649698251121,-0.00044925202159206155,-0.00043787081262581915,-0.0004558960678281851,-0.0004309006751933467,1.0
-6.820506,-0.0004410447932995315,-0.00044834896906189615,-0.0004369011732420886,-0.0004548268073384954,-0.0004301562336253448,1.0
-6.650019,-0.00044005569923040693,-0.00044747545161879983,-0.00043586113610140386,-0.0004537676565825993,-0.0004293578915876543,1.0
-6.484441,-0.0004390470266395437,-0.0004465940543656738,-0.0004347668398890779,-0.0004527113102347854,-0.00042853903972007524,1.0
-6.316205,-0.00043819902429497625,-0.00044560236336155733,-0.00043348753043771305,-0.0004515948384495232,-0.0004276518307774409,1.0
-6.151196,-0.00043729580388311533,-0.0004446382829647872,-0.0004319085232204815,-0.0004504297884433831,-0.000426746197071262,1.0
-5.979965,-0.0004362098874253574,-0.00044331969308442174,-0.00043018077837218567,-0.00044918024861326217,-0.00042575616449247916,1.0
-5.815334,-0.0004350209704027881,-0.00044192983913222516,-0.000429009403844067,-0.00044792645935256246,-0.0004247393919389519,1.0
-5.647082,-0.00043348366206058585,-0.00044020355996458144,-0.00042777495962275725,-0.0004465693805248243,-0.0004236591534832531,1.0
-5.482159,-0.0004321476123204269,-0.0004385634077022416,-0.00042643785448283176,-0.0004451959558534307,-0.0004224023734761673,1.0
-5.316741,-0.00043077902576275435,-0.0004364099018238547,-0.0004250231204422353,-0.00044375253400543135,-0.00042084961039863224,1.0
-5.144897,-0.0004292936958998068,-0.00043413650123730427,-0.00042367780182200307,-0.0004421729139322167,-0.00041903026179014694,1.0
-4.981813,-0.0004278080659616099,-0.0004322880198695545,-0.0004222769893450698,-0.00044062534963173187,-0.00041696945751696724,1.0
-4.813266,-0.00042621579915011053,-0.0004305721107014574,-0.00042074662347270657,-0.0004389435772917262,-0.00041479321307698753,1.0
-4.648513,-0.0004244538368342872,-0.00042886488394761296,-0.00041917425044495207,-0.00043721962022903906,-0.00041262181912132085,1.0
-4.477238,-0.0004225367121906151,-0.00042707267831555733,-0.0004173712409574048,-0.00043536984511830917,-0.0004103023458875948,1.0
