trace_id,legacy_success,legacy_error,Vp_bayes_median,Vp_legacy_value,Vp_delta,Te_bayes_median,Te_legacy_value,Te_delta,ne_bayes_median,ne_legacy_value,ne_delta,n_qn_bayes_median,n_qn_legacy_value,n_qn_delta,p_bayes_median,p_legacy_value,p_delta
kr_15sccm_10a,True,,19.783723643504253,17.413935,2.369788643504254,6.600971450613977,3.2310655899513483,3.3699058606626284,5.472183045937066e+16,4.712206604941817e+16,7599764409952488.0,5.472183045937066e+16,1.2231387516578982e+18,-1.1684169211985275e+18,2.883742409696133,,
kr_15sccm_10a2,True,,19.03346247258016,17.240328,1.7931344725801601,5.220824757960454,3.1331775204740313,2.0876472374864226,5.685417877220194e+16,4.857273109066173e+16,8281447681540208.0,5.685417877220194e+16,1.3948978969073004e+18,-1.3380437181350984e+18,2.9650650211336878,,
kr_15sccm_11a,True,,16.74358128651671,15.053797,1.689784286516712,2.5888038326700427,1.464000767691865,1.1248030649781777,8.709779053060243e+16,6.747473412416795e+16,1.962305640643448e+16,8.709779053060243e+16,1.1451999162924539e+18,-1.0581021257618514e+18,2.9488199408816924,,
kr_15sccm_12a,True,,15.883196132231166,13.894288,1.9889081322311668,2.66587089845134,1.4884946066575118,1.1773762917938282,1.0531395708076307e+17,7.5639889881062e+16,2.967406719970107e+16,1.0531395708076307e+17,7.526193290093743e+17,-6.473053719286113e+17,2.907965097462774,,
kr_15sccm_12p5a,True,,16.463443612876894,15.57233,0.8911136128768948,3.0745805771915813,1.5167364323387953,1.557844144852786,1.0311895715578059e+17,1.118264444753181e+17,-8707487319537504.0,1.0311895715578059e+17,7.41943031752365e+17,-6.388240745965844e+17,2.831346162394332,,
kr_15sccm_13a,True,,18.58979617866975,14.40087,4.188926178669751,3.235172448904752,1.5769533579763062,1.6582190909284458,2.060073809770128e+17,7.0169882697974456e+16,1.3583749827903834e+17,2.060073809770128e+17,7.418362809113457e+17,-5.3582889993433286e+17,2.7350837819373734,,
kr_15sccm_14a,True,,18.76195087936385,15.575205,3.1867458793638512,3.1628403158135785,1.5655115091409055,1.597328806672673,2.3253069765505427e+17,1.1252932264798766e+17,1.2000137500706661e+17,2.3253069765505427e+17,7.720997865908748e+17,-5.395690889358205e+17,2.2442359694135976,,
kr_15sccm_15a,True,,17.7780041262016,13.86619,3.9118141262016017,3.0945327812911243,1.539411270680571,1.5551215106105534,1.7704815698355603e+17,6.607774268806118e+16,1.1097041429549485e+17,1.7704815698355603e+17,9.488882206426715e+17,-7.718400636591155e+17,2.7706133616107462,,
kr_15sccm_16a,True,,17.618930471892323,14.145998,3.4729324718923227,3.0379366454303063,1.6353947468202727,1.4025418986100335,1.5368266534626762e+17,6.025053483506764e+16,9.343213051119997e+16,1.5368266534626762e+17,1.1415564295280449e+18,-9.878737641817773e+17,2.1824632532736197,,
kr_15sccm_17a,True,,56.81030117250143,13.891373,42.91892817250143,6.796532745062914,1.6892705787079914,5.107262166354922,3.413960169721394e+17,5.22950202687968e+16,2.891009967033426e+17,3.413960169721394e+17,1.2750136461722514e+18,-9.33617629200112e+17,1.2727973851812031,,
