bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-21.000294,-0.000413,-0.00047004657649009276,-0.00042082817458150734,5.7046576490092746e-05,3.495268888286027e-05,-8.149694703978906e-07,-9.7716424923947,,2.0308929416240082e-14,-0.0004700465764697838,0,1
-9.823653,-0.000325,-0.0003325709812726027,-0.00034956702946743973,7.570981272602708e-06,2.5844067686262918e-05,-4.302526432619346e-05,-11.791187872416009,,4.1997874201102727e-11,-0.0003325709392747285,0,1
-9.65597,-0.000323,-0.0003305084367001453,-0.00034838693350691164,7.508436700145321e-06,1.8523271913099532e-05,-3.905289041578131e-05,-11.799483276287752,,4.709451363893263e-11,-0.0003305083896056317,0,1
-9.490737,-0.00032,-0.000328476027765782,-0.00034722015652145414,8.476027765781961e-06,1.2820332781243398e-05,-2.9746033889066364e-05,-11.678268641751652,,5.272135137053452e-11,-0.0003284759750444306,0,1
-9.319115,-0.000319,-0.00032636503246742573,-0.00034600409856114537,7.365032467425729e-06,8.565281508567806e-06,-2.1369214755361675e-05,-11.818767099719176,,5.927861419557603e-11,-0.00032636497318881154,0,1
-9.154496,-0.000317,-0.00032434017589297656,-0.00034483363209333634,7.340175892976556e-06,5.588149312946042e-06,-1.463529039779369e-05,-11.822147752004188,,6.633337847703341e-11,-0.0003243401095595981,0,1
-8.986245,-0.000315,-0.00032227064477258557,-0.0003436332218739789,7.2706447725855595e-06,3.7189674122513954e-06,-8.352772416190014e-06,-11.831665580862454,,7.441211040086508e-11,-0.00032227057036047515,0,1
-8.821563,-0.000313,-0.0003202450132817283,-0.00034245420032963343,7.2450132817282725e-06,2.7877670243571544e-06,-3.3498683218046403e-06,-11.835197148966493,,8.327149957979928e-11,-0.00032024493001022873,0,1
-8.65027,-0.00031,-0.0003181380647690589,-0.00034122352569171735,8.138064769058913e-06,2.62457936713661e-06,8.710907451911285e-07,-11.718958149574114,,9.360742457087472e-11,-0.00031813797116163437,0,1
-8.484983,-0.00031,-0.00031610499162063147,-0.0003400317792441327,6.104991620631468e-06,3.0594356584630393e-06,3.918531078207775e-06,-12.006403822944486,,1.0479547565847861e-10,-0.0003161048868251558,0,1
-8.319323,-0.000308,-0.0003140673304750575,-0.0003388331376124003,6.067330475057484e-06,3.922367116209787e-06,1.013326642414084e-05,-12.012591839569934,,1.1735062850817661e-10,-0.000314067213124429,0,1
-8.151793,-0.000307,-0.0003120066678424484,-0.0003376166376561236,5.006667842448443e-06,6.454259207200152e-06,6.5108933350176715e-06,-12.204739965453191,,1.3157792718011183e-10,-0.00031200653626452127,0,1
-7.986612,-0.000306,-0.00030997489852162833,-0.00033641288783386986,3.974898521628316e-06,6.128742636937861e-06,-1.7791047431378872e-06,-12.435511339333962,,1.4729358485757683e-10,-0.00030997475122804345,0,1
-7.815033,-0.000301,-0.00030786443213447125,-0.0003351579350715875,6.864432134471253e-06,5.857626582771023e-06,-1.218014327271131e-06,-11.889157241106563,,1.656084852401613e-10,-0.000307864266525986,0,1
-7.65054,-0.000299,-0.0003058411253928383,-0.00033395038246771105,6.841125392838309e-06,5.714376279895409e-06,-1.4989524380421967e-06,-11.892558308746862,,1.8530164813204154e-10,-0.00030584094009119015,0,1
-7.482334,-0.000297,-0.00030377214778416745,-0.0003327110403059443,6.77214778416744e-06,5.354209746664055e-06,-1.712007272109401e-06,-11.90269227110701,,2.0786311792019982e-10,-0.0003037719399210495,0,1
-7.317661,-0.000294,-0.00030174662699565416,-0.0003314932408014469,7.74662699565417e-06,5.14148402465225e-06,-1.3392863082082785e-06,-11.768253035704706,,2.3260954480993147e-10,-0.00030174639438610936,0,1
-7.145864,-0.000296,-0.0002996334791517197,-0.0003302179707857975,3.6334791517197225e-06,4.9028889634085155e-06,-1.4603649811568387e-06,-12.525319924701773,,2.6157181961596237e-10,-0.0002996332175799001,0,1
-6.984315,-0.000294,-0.00029764638437684143,-0.00032901426345547746,3.646384376841444e-06,4.6560998548883875e-06,-1.0638650027585942e-06,-12.521774463007434,,2.9208840413410397e-10,-0.0002976460922884373,0,1
-6.819133,-0.000291,-0.0002956146027557609,-0.0003277789159230429,4.614602755760892e-06,4.558698985056501e-06,-1.034402567772446e-06,-12.286284770472479,,3.269756443910706e-10,-0.00029561427578011655,0,1
-6.647789,-0.000291,-0.0002935070269298088,-0.0003264925456663009,2.5070269298087602e-06,4.3024132299001835e-06,-1.4613493208477843e-06,-12.896412996999477,,3.6757371226528605e-10,-0.00029350665935609654,0,1
-6.482847,-0.000288,-0.00029147819737123537,-0.0003252494326102047,3.478197371235359e-06,4.066835578786536e-06,-1.976698391201249e-06,-12.568996395156015,,4.1140952006278416e-10,-0.0002914777859617153,0,1
-6.314509,-0.000285,-0.00028940759612818554,-0.00032397580685185177,4.407596128185552e-06,3.639855749225193e-06,-2.946788695685025e-06,-12.332181112773698,,4.615424488938926e-10,-0.00028940713458573664,0,1
-6.149528,-0.000284,-0.00028737828685945473,-0.0003227227027904282,3.3782868594547087e-06,3.087342504319616e-06,-2.609999651027271e-06,-12.598141823274533,,5.165984657607595e-10,-0.00028737777026098895,0,1
-5.978007,-0.000283,-0.00028526853388740356,-0.0003214147447316721,2.2685338874035648e-06,2.771442701435899e-06,-1.8037904590446088e-06,-12.996376799711268,,5.808107674568277e-10,-0.0002852679530766361,0,1
-5.813687,-0.000279,-0.00028324735509082787,-0.0003201566872788453,4.247355090827864e-06,2.481020413124323e-06,-1.6205554339639665e-06,-12.369214100326534,,6.498004921686648e-10,-0.0002832467052903357,0,1
-5.645328,-0.000279,-0.00028117649554230864,-0.00031886255858942504,2.1764955423086312e-06,2.2335188844827823e-06,-1.005188435308473e-06,-13.037794524056945,,7.289933699780194e-10,-0.0002811757665489387,0,1
-5.480493,-0.000277,-0.00027914898211160304,-0.00031759040899845975,2.1489821116030283e-06,2.142855379746232e-06,-1.284731175831455e-06,-13.050516264394838,,8.158714382281788e-10,-0.0002791481662401648,0,1
-5.315218,-0.000275,-0.00027711605656630095,-0.000316309726758136,2.1160565663009374e-06,1.8087688723917609e-06,-1.988637865735818e-06,-13.065956311669135,,9.133777050677159e-10,-0.0002771151431885959,0,1
-5.144073,-0.000274,-0.0002750109284921777,-0.0003149780712595295,1.0109284921776935e-06,1.4742292594326337e-06,-1.689883081874401e-06,-13.804641350221976,,1.026645276832137e-09,-0.00027500990184690086,0,1
-4.979299,-0.000272,-0.0002729841653773593,-0.00031369064637269044,9.841653773593113e-07,1.2377933642929636e-06,-1.8063778108329734e-06,-13.831471887593672,,1.1489482529723165e-09,-0.0002729830164291063,0,1
-4.811132,-0.000271,-0.00027091566747884584,-0.00031237124000041584,0.0,8.702652918434941e-07,-1.954289901263993e-06,,,1.2888045334374932e-09,-0.0002709143786743124,0,1
-4.64616,-0.000268,-0.000268886468912459,-0.00031107146326545763,8.864689124590103e-07,5.852798172949592e-07,-1.342006457240622e-06,-13.936019779775169,,1.4425332994852563e-09,-0.00026888502637915956,0,1
-4.474519,-0.000266,-0.00026677523990915425,-0.0003097133530494739,7.752399091542342e-07,4.237738105874238e-07,-9.8155029198786e-07,-14.070093295297925,,1.6219706530064849e-09,-0.00026677361793850125,0,1
-4.309475,-0.000265,-0.0002647451557240153,-0.00030840180134776216,0.0,2.553319123464723e-07,-1.1263431931668822e-06,,,1.815528801552902e-09,-0.00026474334019521375,0,1
-4.141764,-0.000264,-0.0002626822667442655,-0.0003070633173911311,0.0,4.840882452091379e-08,-6.041033389250069e-07,,,2.0358906925984163e-09,-0.0002626802308535729,0,1
-3.976696,-0.000262,-0.00026065188735287584,-0.00030574020510481875,0.0,5.099661943499819e-08,-1.4682872569831096e-07,,,2.2788814190812857e-09,-0.00026064960847145676,0,1
-3.811765,-0.00026,-0.00025862319309716736,-0.0003044124473255415,0.0,0.0,-1.5589697330417071e-07,,,2.550635247273338e-09,-0.0002586206424619201,0,1
-3.644043,-0.000258,-0.0002565601688145526,-0.0003030562552857755,0.0,0.0,0.0,,,2.8602430172801365e-09,-0.0002565573085715353,0,1
-3.478379,-0.000255,-0.00025452245846793676,-0.00030171071984322876,0.0,0.0,0.0,,,3.202926755527929e-09,-0.00025451925554118124,0,1
-3.30675,-0.000255,-0.00025241137706775735,-0.0003003103781272095,0.0,0.0,0.0,,,3.6013107086282697e-09,-0.0002524077757570487,0,1
-3.142094,-0.000252,-0.0002503860653836717,-0.00029896076510113644,0.0,0.0,0.0,,,4.030005542659028e-09,-0.00025038203537812903,0,1
-2.973841,-0.000251,-0.0002483165096627598,-0.00029757534608690307,0.0,0.0,0.0,,,4.520825471510227e-09,-0.0002483119888372883,0,1
-2.808599,-0.00025,-0.00024628399002605243,-0.0002962084131950157,0.0,0.0,0.0,,,5.061003394771928e-09,-0.00024627892902265763,0,1
-2.637367,-0.000246,-0.00024417779182927033,-0.00029478524189537574,0.0,0.0,0.0,,,5.688954286427427e-09,-0.0002441721028749839,0,1
-2.472833,-0.000246,-0.0002421539807769591,-0.0002934112369315836,0.0,0.0,0.0,,,6.365628710904808e-09,-0.0002421476151482482,0,1
-2.307931,-0.000244,-0.00024012564322880358,-0.0002920276724453198,0.0,0.0,0.0,,,7.124581036064232e-09,-0.00024011851864776752,0,1
-2.139508,-0.000242,-0.00023805399646361578,-0.0002906077665325622,0.0,0.0,0.0,,,7.993221699214275e-09,-0.00023804600324191656,0,1
-1.974961,-0.000239,-0.00023603002550791878,-0.0002892138053965179,0.0,0.0,0.0,,,8.94405734359565e-09,-0.00023602108145057518,0,1
