bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000391,,,,,,0.0
-9.824638,-0.0002002388062473823,-0.00020445641538062703,-0.0001950483677185819,-0.00020881862431648495,-0.00019036948856577027,1.0
-9.656476,-0.00019931358167577748,-0.000203519668839592,-0.000194263855537014,-0.00020777180088870387,-0.00018964893021406864,1.0
-9.491567,-0.000198397156445193,-0.00020260104313737893,-0.00019349451930551054,-0.00020674522767565964,-0.00018894231050696952,1.0
-9.320322,-0.00019744552106681142,-0.00020164712274264312,-0.00019266878121246446,-0.00020567921229828326,-0.0001882085414462755,1.0
-9.155389,-0.00019652896246442593,-0.00020072640457998884,-0.00019183296877376712,-0.00020465248968310138,-0.0001875018185097369,1.0
-8.987263,-0.0001955946598591945,-0.00019977920450484912,-0.0001909780289652756,-0.00020360589035852675,-0.00018678141356888924,1.0
-8.822338,-0.0001946781457140038,-0.00019885003844848383,-0.0001901376406778638,-0.00020257921754405743,-0.00018607472427730514,1.0
-8.650893,-0.00019375759811712508,-0.00019788413955787514,-0.00018926285555572283,-0.00020151195714886752,-0.00018534009693419557,1.0
-8.485725,-0.00019286861126064617,-0.00019695360447102972,-0.00018838575565340035,-0.00020048377163775478,-0.00018463236551874475,1.0
-8.320868,-0.00019197717579256128,-0.00019599430286097546,-0.00018751030726995332,-0.00019945752212934204,-0.00018392596607838462,1.0
-8.152965,-0.0001910692696107525,-0.0001949922834384047,-0.00018668751072214098,-0.00019841231099962948,-0.0001832065139661347,1.0
-7.987916,-0.00019017679593590382,-0.00019398504537930929,-0.0001858798107121013,-0.00019738486627411575,-0.00018249929015215166,1.0
-7.816406,-0.0001892493855304368,-0.00019293837802891368,-0.00018495494917889228,-0.00019631720124813648,-0.00018171376139929874,1.0
-7.651836,-0.0001883595019639857,-0.00019193406314433188,-0.0001840675113471607,-0.00019529273834028609,-0.00018095068608939665,1.0
-7.483679,-0.00018744887593874184,-0.00019090785801553176,-0.0001831607307463792,-0.00019424594603795038,-0.00018017097864036433,1.0
-7.31903,-0.00018654226860209956,-0.00018990306102074792,-0.0001822728669099746,-0.00019322099134806364,-0.0001794075370246374,1.0
-7.147474,-0.00018559762922702603,-0.0001888561129479556,-0.0001813477573234082,-0.00019215303996798717,-0.0001786120691515998,1.0
-6.985829,-0.00018470726540074342,-0.00018786964834615415,-0.0001804813355228384,-0.00019114678544565936,-0.00017786255643075408,1.0
-6.820722,-0.0001838269590601329,-0.0001868620563327309,-0.00017967534290620708,-0.00019011897966497956,-0.00017709699116859933,1.0
-6.649246,-0.0001829050729919112,-0.00018581559647279675,-0.00017884163559963207,-0.00018905431806140889,-0.0001763018942381603,1.0
-6.484791,-0.0001819618634060725,-0.0001848119833941967,-0.00017804206399847278,-0.00018804409237567775,-0.0001755393521582397,1.0
-6.316351,-0.0001810212138293105,-0.0001837840512123815,-0.00017728379684238887,-0.0001870093873529961,-0.0001747583324997077,1.0
