bias_voltage_v,probe_current_a,ion_current_a,corrected_ion_current_a,electron_current_a,electron_current_smooth_a,dIe_dV_a_per_v,ln_electron_current,semilog_fit_ln_current,semilog_fit_current_a,legacy_total_model_a,semilog_window,legacy_model_valid
-20.792906,-0.000493,-0.0005825972590043462,-0.0005128351564080979,8.959725900434625e-05,5.534538585916872e-05,-1.0167997784835033e-06,-9.320185829920668,,1.7261702207424572e-12,-0.000582597257278176,0,1
-9.821749,-0.000408,-0.0004150561109853633,-0.00042409302192285406,7.056110985363283e-06,4.4189915851860984e-05,-5.374105036279957e-05,-11.861616510165334,,9.924637626440877e-10,-0.00041505511852160063,0,1
-9.653394,-0.000381,-0.0004124851524278715,-0.00042258609944936,3.148515242787153e-05,3.5006130994756475e-05,-4.964596184268283e-05,-10.365994474749865,,1.0941121724518454e-09,-0.0004124840583156991,0,1
-9.48856,-0.000394,-0.000409967963256979,-0.000421105468475966,1.596796325697904e-05,2.761425355012673e-05,-3.9449876333697335e-05,-11.044926139438704,,1.2037142057333911e-09,-0.0004099667595427733,0,1
-9.317886,-0.000387,-0.0004073615911216617,-0.0004195668733627027,2.03615911216617e-05,2.1834505780243298e-05,-2.991191835456979e-05,-10.801860219941464,,1.3287824608199743e-09,-0.0004073602623392009,0,1
-9.150979,-0.000374,-0.0004048127450526095,-0.0004180567606292298,3.081274505260952e-05,1.7487109947377717e-05,-2.2400911928411693e-05,-10.387582153167124,,1.4636487138425086e-09,-0.00040481128140389567,0,1
-8.986415,-0.000396,-0.0004022996790667161,-0.0004165624868343694,6.299679066716136e-06,1.4392288313801531e-05,-1.554188670847261e-05,-11.975011867655454,,1.6100170570868975e-09,-0.00040229806904965905,0,1
-8.821676,-0.00037,-0.0003997839406461011,-0.0004150612358778865,2.9783940646101127e-05,1.237026314178628e-05,-9.482507738388519e-06,-10.421541214207382,,1.7712020958964909e-09,-0.0003997821694440052,0,1
-8.649858,-0.000389,-0.00039716009842323205,-0.00041348966777631126,8.160098423232024e-06,1.1241256693603517e-05,-4.5044892077803945e-06,-11.71625432739041,,1.956529384028189e-09,-0.000397158141893848,0,1
-8.484933,-0.000375,-0.0003946415195862843,-0.00041197550879394586,1.96415195862843e-05,1.0825491231524769e-05,-9.048817364018725e-07,-10.837864886020611,,2.152636999044167e-09,-0.00039463936694928526,0,1
