energy_ev,eedf_m3_ev_median,eedf_m3_ev_q16,eedf_m3_ev_q84,eedf_m3_ev_q2.25,eedf_m3_ev_q97.75,eedf_m3_ev_valid_fraction
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.11404765317090908,3108258320343763.0,2898679407299151.5,3369025048700367.0,2801343455457140.0,3534990153057049.5,1.0
0.22809530634181815,4395578885351372.0,4099066943456625.5,4764199770747068.0,3961586633954784.0,4998657590087278.0,1.0
0.3421429595127272,5382959941468144.0,5019468475741590.0,5834016841744429.0,4851568668129372.0,6120572131705309.0,1.0
0.4561906126836363,6214628555904808.0,5794232990661050.0,6734698744301943.0,5601298530270116.0,7064536226318976.0,1.0
0.5702382658545454,6946248260631842.0,6475112868720413.0,7526487337157887.0,6260960369786701.0,7893665789138171.0,1.0
0.6842859190254544,7606188347116130.0,7088404545828443.0,8240052760843413.0,6856132953190996.0,8640066648090052.0,1.0
0.7983335721963636,8211140560651580.0,7650945904916530.0,8893419669168006.0,7401864468059805.0,9322592011241336.0,1.0
0.9123812253672726,8771833524800660.0,8172480213857557.0,9498160558616142.0,7907822855442556.0,9953339114165520.0,1.0
1.0264288785381817,9295401498229598.0,8659275589168573.0,1.0062160661221192e+16,8380595318447632.0,1.0540549025058054e+16,1.0
1.1404765317090908,9780687649526140.0,9116141530655584.0,1.0591023413689676e+16,8824857410144282.0,1.1090080363484028e+16,1.0
1.25452418488,1.0224424668069902e+16,9546591546478236.0,1.1088854228873328e+16,9244025142293088.0,1.1606230893459316e+16,1.0
1.3685718380509089,1.0654335424356776e+16,9953365527387876.0,1.1555019224229294e+16,9640645125581588.0,1.2092228693678172e+16,1.0
1.482619491221818,1.1069945020848436e+16,1.0340445900187512e+16,1.1987311020303922e+16,1.001664122670097e+16,1.2568327389600818e+16,1.0
1.5966671443927272,1.1464571032099e+16,1.0707655766063706e+16,1.2393913745598108e+16,1.0373477679277178e+16,1.302507991196476e+16,1.0
1.710714797563636,1.1839503064418168e+16,1.1056177332260522e+16,1.2776206306596216e+16,1.0712271081676226e+16,1.3461349497989074e+16,1.0
1.8247624507345452,1.2172708106871862e+16,1.1386920063064368e+16,1.3135269591407478e+16,1.1019641261661494e+16,1.3878430187178466e+16,1.0
