bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000351,,,,,,0.0
-9.824279,-0.0007268766315388674,-0.0007284426379070453,-0.0007241968280488234,-0.000729997458168911,-0.0007224556993426504,1.0
-9.656072,-0.0007230605337243207,-0.0007245588449773951,-0.0007204072342367929,-0.0007260895720258278,-0.0007187020559808976,1.0
-9.491242,-0.0007193203207965396,-0.0007207746676232844,-0.0007166930599716682,-0.0007222596768710242,-0.000715022946624954,1.0
-9.319562,-0.0007154238035070183,-0.0007168324134812334,-0.0007128237687061365,-0.0007182700813870475,-0.0007111900736778751,1.0
-9.154713,-0.0007116765313951437,-0.0007130446484909366,-0.0007091075895384767,-0.000714438632215279,-0.0007075087567852722,1.0
-8.986787,-0.0007078543007654573,-0.0007091853039042772,-0.000705321225196543,-0.0007105350768869017,-0.0007037576731867234,1.0
-8.82169,-0.000704095607290365,-0.000705401013018141,-0.0007015978046810002,-0.0007066966781297269,-0.0007000687978463292,1.0
-8.650146,-0.0007001890222538786,-0.0007014915712510561,-0.0006977279758238306,-0.0007027076881226146,-0.0006962347544054715,1.0
-8.484995,-0.0006964270309269876,-0.0006977120175296182,-0.0006940013378861912,-0.0006988665786914259,-0.0006925423190729729,1.0
-8.320182,-0.0006926715906537998,-0.0006939683534644275,-0.0006902813006419,-0.0006950325938580141,-0.0006888562648374361,1.0
-8.152253,-0.0006888023961404406,-0.0006901380882366962,-0.0006864898135834516,-0.0006911516526135241,-0.0006850992671024321,1.0
-7.987154,-0.0006849973086087324,-0.0006863489898364593,-0.0006827610082706378,-0.0006873489522562646,-0.0006814041042684415,1.0
-7.815486,-0.000681039731350058,-0.0006824068559886283,-0.0006788825263186765,-0.0006833936587781566,-0.0006775603823884359,1.0
-7.651024,-0.0006772472038090788,-0.0006786209076516101,-0.000675165505911241,-0.0006796029923015411,-0.0006738765273100689,1.0
-7.482657,-0.0006733633350832929,-0.0006747366763229381,-0.0006713587460980962,-0.0006757208652544165,-0.0006701034706798417,1.0
-7.317932,-0.0006695761058287722,-0.0006709350280945709,-0.0006676328517401495,-0.0006719212830118675,-0.0006664102897648504,1.0
-7.146485,-0.0006656353764986222,-0.0006669837225255762,-0.0006637532728691695,-0.000667964891814515,-0.0006625645251643288,1.0
-6.984602,-0.0006619129275169752,-0.0006632606377862938,-0.0006600884128998779,-0.0006642275183799567,-0.0006588826517088155,1.0
-6.819645,-0.0006581326618455444,-0.0006594649982946737,-0.0006563521205278827,-0.0006604081051755526,-0.0006551288189385278,1.0
-6.648039,-0.0006542145899157445,-0.000655514214745768,-0.0006524633031922302,-0.0006564561333477619,-0.0006512219750712491,1.0
-6.483415,-0.0006504497105491285,-0.0006517089731800131,-0.0006487084938154641,-0.0006526679658520838,-0.000647472214270982,1.0
-6.314946,-0.0006465965830538287,-0.0006478058973639444,-0.0006448643025293618,-0.000648789014622226,-0.0006436329215540138,1.0
-6.149992,-0.0006428309630425988,-0.0006439818843996647,-0.0006411253201087514,-0.0006449889465004636,-0.0006398640909860006,1.0
-5.978604,-0.0006389090195762437,-0.000640014640569471,-0.0006372376186766832,-0.0006410384095165887,-0.0006359381707334252,1.0
-5.813864,-0.0006351367698772158,-0.0006362216006209521,-0.0006334980113174634,-0.0006372172460143998,-0.0006321740492315935,1.0
-5.64564,-0.0006312648024661247,-0.0006323412488787797,-0.000629676158581956,-0.000633377003321976,-0.0006283875562126434,1.0
-5.480702,-0.0006274409644935736,-0.0006285120702172446,-0.0006259258256450635,-0.0006295974917240197,-0.000624605608405305,1.0
-5.315722,-0.000623589021071093,-0.0006246983352650909,-0.0006221671993896868,-0.0006258084567950876,-0.0006208199932330752,1.0
-5.144032,-0.0006195948369236536,-0.0006207391957829008,-0.0006182192769515458,-0.0006218617762172153,-0.0006168775009043312,1.0
-4.979477,-0.0006158111253968565,-0.0006169352240284977,-0.0006144247396528081,-0.0006180700384852537,-0.0006130960246883907,1.0
-4.811145,-0.0006119129760444575,-0.0006130353146581319,-0.00061053947549997,-0.0006141783244902592,-0.0006092246920197659,1.0
-4.646178,-0.0006080950297156749,-0.0006092094586760487,-0.0006067279372353628,-0.0006103602750218372,-0.0006054272247735648,1.0
-4.474621,-0.0006041321564769748,-0.0006052266070231396,-0.0006027596220665786,-0.0006063638916389487,-0.0006014744078387513,1.0
-4.310002,-0.0006003236483918836,-0.0006013981114904376,-0.000598957729946756,-0.0006025251533253188,-0.0005976778513199375,1.0
