bias_voltage_v,probe_current_a_median,probe_current_a_q16,probe_current_a_q84,probe_current_a_q2.25,probe_current_a_q97.75,probe_current_a_valid_fraction
-21.000235,,,,,,0.0
-9.824697,-0.0009466226894071269,-0.0009479015836312283,-0.0009452779997724447,-0.0009500181185399244,-0.0009440562344336724,1.0
-9.656737,-0.0009412578393624003,-0.0009425018858936775,-0.0009399377672465786,-0.0009445794124621894,-0.0009387402271923412,1.0
-9.491549,-0.000935965622551279,-0.0009371904728242473,-0.0009346847625564412,-0.0009392298488773355,-0.0009335110813927089,1.0
-9.320312,-0.0009304934830042895,-0.0009316800222213936,-0.0009292384060066799,-0.0009336837057613993,-0.0009280893635707852,1.0
-9.155296,-0.0009252192672009166,-0.0009263599633627911,-0.0009239901108538386,-0.0009283382435274188,-0.0009228635890862471,1.0
-8.987243,-0.0009198470148280614,-0.0009209455457333855,-0.0009186446996948874,-0.0009228936228961557,-0.000917540575127095,1.0
-8.822443,-0.0009145733573676418,-0.0009156528776323034,-0.0009134016230896021,-0.0009175536003886134,-0.0009123194966321056,1.0
-8.650835,-0.0009090674566843954,-0.0009101404835653353,-0.0009079407292998343,-0.0009119920781995642,-0.0009068813761529854,1.0
-8.485763,-0.0009037733866143957,-0.000904829829110792,-0.0009026891017576337,-0.0009066413428451941,-0.0009016490679929274,1.0
-8.320636,-0.0008984789112374219,-0.0008995112450153662,-0.0008974554646234717,-0.0009012878548572439,-0.0008964136945024075,1.0
-8.152733,-0.0008931103683808259,-0.0008941020135647579,-0.0008921321977947603,-0.0008958433282287435,-0.0008910888933727873,1.0
-7.987727,-0.0008878264686875785,-0.0008887847785341113,-0.0008868990943094827,-0.0008904916310939063,-0.000885854361659709,1.0
-7.816158,-0.0008823234728575166,-0.0008832545245346544,-0.0008814560019726524,-0.0008849256904450152,-0.00088040989887541,1.0
-7.651423,-0.0008770515971205467,-0.0008779398417447952,-0.0008762286517601347,-0.0008795802029782526,-0.00087518059526248,1.0
-7.483246,-0.0008716678882353434,-0.0008725096955030234,-0.0008708907910640699,-0.0008741216900791691,-0.0008698402413455294,1.0
-7.318519,-0.0008663884020492518,-0.0008671893952821859,-0.0008656602830939158,-0.0008687737010061281,-0.000864607447275084,1.0
-7.147177,-0.0008608720212157573,-0.0008616537382477313,-0.0008602047039124382,-0.0008632092013546929,-0.0008591623332903933,1.0
-6.985103,-0.0008556519883217318,-0.0008564154840301462,-0.0008550320350807225,-0.0008579441295125619,-0.0008540096281701351,1.0
-6.820083,-0.0008503352063427189,-0.0008510801533630719,-0.0008497574760946685,-0.0008525816956633917,-0.0008487610763699814,1.0
-6.648565,-0.000844817830613022,-0.000845532681124147,-0.0008442738811576633,-0.0008470061384622166,-0.000843303284810114,1.0
-6.483935,-0.0008395221498685998,-0.0008402056373487059,-0.0008390218027436302,-0.0008416523572599793,-0.0008380619820411925,1.0
-6.315534,-0.0008341191775098854,-0.0008347541454433497,-0.0008336384348472699,-0.0008361738650254515,-0.0008326928111012671,1.0
-6.150573,-0.0008288132346775494,-0.0008294238325432129,-0.0008283595349173542,-0.0008308051298357546,-0.0008274284713098453,1.0
-5.979055,-0.0008232663596385535,-0.000823885736146597,-0.000822855591896745,-0.0008252204157262012,-0.0008219516363292258,1.0
-5.814312,-0.0008179535510368814,-0.0008185676792166498,-0.0008175753192152916,-0.0008198536248454414,-0.000816687722276324,1.0
-5.646239,-0.0008125645587058892,-0.0008131369248235025,-0.0008121778625106253,-0.0008143757053034617,-0.00081131405273252,1.0
-5.481241,-0.0008072369465069786,-0.0008077908808222879,-0.0008068762928740782,-0.0008089952542859201,-0.0008060352261411432,1.0
-5.316211,-0.0008019013865505709,-0.0008024635227019184,-0.0008015393578939706,-0.0008036106131914659,-0.0008007516725830829,1.0
-5.144527,-0.0007963587710404713,-0.0007969223070852162,-0.0007959776855638511,-0.0007980053081163874,-0.000795250402457593,1.0
-4.979907,-0.0007910319368838432,-0.0007915958105878152,-0.0007906298764155333,-0.000792627317128505,-0.0007899713577629257,1.0
-4.811636,-0.0007856195347320052,-0.0007861520445956951,-0.0007851831909005544,-0.000787126485219315,-0.0007845707895199031,1.0
-4.646537,-0.0007802968768382838,-0.0007808067945306531,-0.0007798404297471055,-0.0007817344508787483,-0.0007792673664701586,1.0
-4.474973,-0.0007747467926057827,-0.0007752475892904172,-0.0007742699755027136,-0.0007761321682573393,-0.0007737504055263545,1.0
-4.31031,-0.000769392395705841,-0.0007699067405260639,-0.00076891883730424,-0.0007707507239503507,-0.0007684501175865339,1.0
-4.142355,-0.0007639470511802138,-0.0007644541037954639,-0.000763453089236888,-0.000765256773722687,-0.0007630382951898089,1.0
-3.977365,-0.0007586053759098687,-0.0007590950746551509,-0.0007580829162082193,-0.000759854112612029,-0.0007577162231737053,1.0
-3.812369,-0.0007532541101230727,-0.0007537419493926003,-0.0007527049296036129,-0.0007544458208016768,-0.0007523615031381759,1.0
-3.644047,-0.0007477862488788557,-0.0007482452741521158,-0.0007472121337170619,-0.0007489227134612705,-0.0007468969715041959,1.0
-3.479068,-0.0007423888511190007,-0.0007428669370920798,-0.000741821799008332,-0.0007435031662139045,-0.0007415277702328072,1.0
-3.307838,-0.000736773941068967,-0.0007372793152468652,-0.000736220489896723,-0.0007378706923153813,-0.0007359101544287854,1.0
-3.142891,-0.0007313720496030544,-0.0007318880843500363,-0.0007308175822879834,-0.0007324379781132429,-0.0007304919957172606,1.0
-2.974529,-0.0007258503200041381,-0.0007263690358398887,-0.0007252943176250976,-0.0007268854664018965,-0.0007249541709749353,1.0
-2.809299,-0.0007204403943669347,-0.0007209511676709384,-0.0007198661143195675,-0.0007214283045197402,-0.000719510852643302,1.0
-2.638103,-0.0007148121633583506,-0.0007153519335719945,-0.0007142334903105522,-0.0007157646517006097,-0.0007138627013613351,1.0
-2.473509,-0.000709396585481214,-0.0007099564700875249,-0.0007088080348459573,-0.0007103330272879921,-0.0007084320924552598,1.0
-2.308481,-0.0007039416562348471,-0.0007045320349630486,-0.0007033588905318436,-0.000704888754943132,-0.0007029892378161748,1.0
-2.140179,-0.0006983672915515056,-0.0006989817978076417,-0.0006977919124291678,-0.0006993146420028356,-0.00069742821756603,1.0
-1.975182,-0.000692897625834286,-0.0006935015557840888,-0.0006923231339394492,-0.0006938774511089919,-0.000691966099621074,1.0
-1.803609,-0.0006871974820742765,-0.000687797427723584,-0.0006866239187688778,-0.00068819836061171,-0.0006862736141722921,1.0
-1.638803,-0.0006816721016138917,-0.0006823316572722504,-0.0006811379832771045,-0.0006827284648329851,-0.000680772903566249,1.0
