# Velocity [m/s], Current [A]
3.000000000000000000e+03,1.117666802100000274e-10
3.500000000000000000e+03,9.017027410999992576e-11
4.000000000000000000e+03,8.231004223999995004e-11
4.500000000000000000e+03,5.994967914500005609e-11
5.000000000000000000e+03,2.259840750000008704e-11
5.500000000000000000e+03,1.203667848899998604e-10
6.000000000000000000e+03,9.055326329000007797e-11
6.500000000000000000e+03,1.523841472400002163e-10
7.000000000000000000e+03,1.041836079249999324e-10
7.500000000000000000e+03,7.313891206500004413e-11
8.000000000000000000e+03,1.315293756603000177e-10
8.500000000000000000e+03,2.150012307499999373e-10
9.000000000000000000e+03,2.707241371600000728e-10
9.500000000000000000e+03,4.089310749400000765e-10
1.000000000000000000e+04,5.210729483500000332e-10
1.050000000000000000e+04,6.284524212600000373e-10
1.100000000000000000e+04,1.036029590649999996e-09
1.150000000000000000e+04,1.294904103655000323e-09
1.200000000000000000e+04,1.520285819985000032e-09
1.250000000000000000e+04,1.575682435290300145e-09
1.300000000000000000e+04,1.597120925510000117e-09
1.350000000000000000e+04,1.785726276250000028e-09
1.400000000000000000e+04,3.244346978609999969e-09
1.450000000000000000e+04,4.133185308814999942e-09
1.500000000000000000e+04,5.016304344439999921e-09
1.550000000000000000e+04,6.057837667190000046e-09
1.600000000000000000e+04,6.876179487554999002e-09
1.700000000000000000e+04,8.672911511040000012e-09
1.750000000000000000e+04,9.395735536535299046e-09
1.800000000000000000e+04,1.013977653800500187e-08
1.850000000000000000e+04,1.062494400295000022e-08
1.900000000000000000e+04,1.100037606301000007e-08
2.000000000000000000e+04,1.111907552181999993e-08
2.050000000000000000e+04,1.095434944541499882e-08
2.100000000000000000e+04,1.044332642882030043e-08
2.150000000000000000e+04,1.002781591783499975e-08
2.200000000000000000e+04,9.474067092404998889e-09
2.250000000000000000e+04,8.924836094475000502e-09
2.300000000000000000e+04,8.144228272345001260e-09
2.350000000000000000e+04,7.518421170575000351e-09
2.400000000000000000e+04,6.869336334710000497e-09
2.450000000000000000e+04,6.204751911150000390e-09
2.500000000000000000e+04,5.498263024784999761e-09
2.550000000000000000e+04,4.830876085699999942e-09
2.600000000000000000e+04,4.171584280210000707e-09
2.650000000000000000e+04,3.629286463820000238e-09
2.700000000000000000e+04,2.939459642489999914e-09
2.750000000000000000e+04,2.596935054485000581e-09
2.800000000000000000e+04,2.296442542180600426e-09
2.850000000000000000e+04,2.130991916994999837e-09
2.900000000000000000e+04,1.874297824794999994e-09
2.950000000000000000e+04,1.711798128239999918e-09
3.000000000000000000e+04,1.654889420089999899e-09
3.050000000000000000e+04,1.544910483944999974e-09
3.100000000000000000e+04,1.393389909374999799e-09
3.150000000000000000e+04,1.267344626060000228e-09
3.200000000000000000e+04,1.071294034165000063e-09
