Bias Voltage (V)	Probe Current (A)
-21.000568	-0.000387
-9.787113	-0.000188
-9.588932	-0.000187
-9.387765	-0.000185
-9.183590	-0.000184
-8.985628	-0.000183
-8.784513	-0.000181
-8.586949	-0.000180
-8.385546	-0.000179
-8.184181	-0.000177
-7.979509	-0.000176
-7.782032	-0.000175
-7.580698	-0.000174
-7.382773	-0.000172
-7.181687	-0.000171
-6.983833	-0.000169
-6.775912	-0.000168
-6.578310	-0.000167
-6.376867	-0.000165
-6.178748	-0.000164
-5.977475	-0.000163
-5.779862	-0.000161
-5.575301	-0.000160
-5.374224	-0.000158
-5.172395	-0.000157
-4.974955	-0.000156
-4.774279	-0.000154
-4.575828	-0.000153
-4.374496	-0.000152
-4.170424	-0.000150
-3.969248	-0.000148
-3.771414	-0.000147
-3.570008	-0.000146
-3.372446	-0.000144
-3.171108	-0.000143
-2.965793	-0.000141
-2.768009	-0.000140
-2.567239	-0.000138
-2.365942	-0.000137
-2.168042	-0.000136
-1.966588	-0.000134
-1.762214	-0.000132
-1.564017	-0.000131
-1.363135	-0.000130
-1.164744	-0.000128
-0.963600	-0.000127
-0.763347	-0.000126
-0.558727	-0.000124
-0.361137	-0.000122
-0.159010	-0.000121
0.041311	-0.000120
0.242348	-0.000118
0.443335	-0.000117
0.648383	-0.000115
0.845884	-0.000113
1.047011	-0.000112
1.244738	-0.000110
1.446270	-0.000109
1.643630	-0.000108
1.845225	-0.000106
2.049363	-0.000104
2.251107	-0.000103
2.448570	-0.000101
2.649971	-9.965606E-5
2.847289	-9.808026E-5
3.048415	-9.670488E-5
3.485051	-9.103635E-5
3.454644	-9.222305E-5
3.652186	-9.005136E-5
3.853699	-8.799829E-5
4.063884	-8.468399E-5
4.253078	-8.302584E-5
4.459393	-8.024351E-5
4.654913	-7.769937E-5
4.854802	-7.492557E-5
5.058595	-7.228406E-5
5.255582	-6.970449E-5
5.457112	-6.663265E-5
5.661381	-6.377973E-5
5.860939	-6.042654E-5
6.059688	-5.708493E-5
6.262516	-5.364858E-5
6.458191	-5.032446E-5
6.657507	-4.676880E-5
6.856201	-4.294931E-5
7.059160	-3.913481E-5
7.264729	-3.532113E-5
7.464442	-3.099693E-5
7.663879	-2.670704E-5
7.863339	-2.179263E-5
8.063394	-1.695369E-5
8.266843	-1.189515E-5
8.468032	-6.325947E-6
8.665333	-1.571366E-6
8.866332	4.236792E-6
9.068141	9.315866E-6
9.266590	1.569275E-5
9.469966	2.284690E-5
9.671660	2.994723E-5
9.869677	3.739644E-5
10.071106	4.558309E-5
10.269637	5.393292E-5
10.470215	6.272981E-5
10.675091	7.272565E-5
10.876409	8.285638E-5
11.074068	9.327241E-5
11.273689	0.000103
11.471886	0.000115
11.673105	0.000128
11.877659	0.000142
12.078830	0.000157
12.276711	0.000171
12.478061	0.000187
12.676122	0.000203
12.877470	0.000221
13.075694	0.000239
13.283890	0.000259
13.482864	0.000279
13.684832	0.000301
13.882778	0.000324
14.084878	0.000346
14.283599	0.000370
14.487674	0.000396
14.689316	0.000422
14.891126	0.000450
15.090416	0.000476
15.291766	0.000505
15.490793	0.000534
15.695107	0.000565
15.897240	0.000595
16.099108	0.000628
16.295677	0.000659
16.499220	0.000690
16.697987	0.000724
16.902048	0.000757
17.104113	0.000791
17.302942	0.000823
17.504435	0.000858
17.706930	0.000891
17.903910	0.000926
18.106380	0.000958
18.313698	0.000992
18.496075	0.001020
18.709515	0.000975
18.911366	0.001021
19.109674	0.001059
19.311470	0.001095
19.516321	0.001131
19.714842	0.001165
19.916573	0.001196
20.114975	0.001229
20.317051	0.001258
20.518597	0.001288
20.723999	0.001318
20.922152	0.001343
21.124168	0.001374
21.321930	0.001395
21.523851	0.001420
21.722185	0.001442
21.930546	0.001469
22.129293	0.001489
22.331030	0.001511
22.529221	0.001530
22.730923	0.001547
22.929483	0.001569
23.133848	0.001586
23.335810	0.001605
23.537584	0.001629
23.736053	0.001638
23.937672	0.001655
24.136126	0.001669
24.337589	0.001686
24.542652	0.001700
24.744255	0.001718
24.942745	0.001732
25.144478	0.001743
25.342978	0.001751
25.545029	0.001773
25.750393	0.001779
25.947863	0.001790
26.149628	0.001804
26.351883	0.001817
26.549217	0.001821
26.750277	0.001833
26.954865	0.001845
27.152479	0.001854
27.354906	0.001868
27.555204	0.001870
27.753223	0.001881
27.954529	0.001892
28.158272	0.001903
28.356611	0.001912
28.557840	0.001922
28.756357	0.001928
28.956808	0.001938
29.157804	0.001947
29.356192	0.001958
29.560644	0.001967
29.761370	0.001972
29.959150	0.001979
30.160501	0.001989
30.361637	0.002005
30.559469	0.002008
30.764355	0.002018
30.965664	0.002026
31.163128	0.002034
31.364998	0.002046
31.561647	0.002049
31.762718	0.002061
31.967440	0.002070
32.168633	0.002082
32.367146	0.002083
32.568451	0.002097
32.765541	0.002107
32.967312	0.002119
33.172085	0.002125
33.372646	0.002134
33.570930	0.002142
33.771561	0.002155
33.969631	0.002165
34.171234	0.002168
34.376019	0.002181
34.573338	0.002195
34.774906	0.002202
34.975494	0.002217
35.172783	0.002221
35.375145	0.002234
35.572334	0.002239
35.776428	0.002256
35.978519	0.002270
36.180305	0.002282
36.377075	0.002290
36.578362	0.002297
36.775475	0.002308
36.980812	0.002326
37.180855	0.002336
37.379509	0.002342
37.580631	0.002359
37.782417	0.002371
37.980358	0.002383
38.184105	0.002389
38.384758	0.002405
38.583897	0.002415
38.784325	0.002438
38.985741	0.002449
39.183414	0.002458
39.387653	0.002468
39.589432	0.002484
39.787563	0.002494
39.989010	0.002509
