Bias Voltage (V)	Probe Current (A)
-21.000393	-0.000158
-9.823321	-0.000128
-9.654938	-0.000127
-9.489810	-0.000126
-9.318539	-0.000125
-9.153479	-0.000125
-8.985621	-0.000125
-8.820497	-0.000124
-8.648911	-0.000124
-8.483747	-0.000123
-8.318767	-0.000123
-8.150778	-0.000122
-7.985663	-0.000122
-7.814105	-0.000121
-7.649508	-0.000120
-7.481182	-0.000120
-7.316478	-0.000119
-7.144892	-0.000119
-6.983249	-0.000118
-6.818067	-0.000118
-6.646574	-0.000117
-6.481707	-0.000116
-6.313394	-0.000116
-6.148377	-0.000115
-5.976987	-0.000115
-5.812231	-0.000114
-5.643918	-0.000114
-5.478937	-0.000113
-5.313949	-0.000113
-5.142438	-0.000112
-4.977629	-0.000111
-4.809365	-0.000111
-4.644209	-0.000110
-4.472647	-0.000110
-4.307835	-0.000109
-4.140127	-0.000109
-3.975127	-0.000108
-3.809998	-0.000107
-3.641608	-0.000107
-3.476551	-0.000106
-3.305208	-0.000106
-3.140270	-0.000105
-2.971817	-0.000104
-2.806831	-0.000104
-2.635503	-0.000103
-2.470749	-0.000103
-2.305826	-0.000102
-2.137514	-0.000101
-1.972378	-0.000101
-1.800938	-0.000100
-1.638403	-9.952179E-5
-1.469851	-9.878662E-5
-1.304541	-9.830149E-5
-1.132887	-9.754518E-5
-0.968378	-9.689578E-5
-0.803828	-9.631232E-5
-0.635468	-9.556908E-5
-0.470167	-9.499493E-5
-0.301889	-9.420618E-5
-0.137307	-9.353615E-5
0.036397	-9.288614E-5
0.201147	-9.206441E-5
0.369574	-9.133157E-5
0.534192	-9.055936E-5
0.699104	-8.980650E-5
0.870700	-8.900563E-5
1.035601	-8.827307E-5
1.203907	-8.740586E-5
1.368566	-8.673371E-5
1.540151	-8.592493E-5
1.705135	-8.507452E-5
1.873693	-8.431019E-5
2.038248	-8.333331E-5
2.203182	-8.252431E-5
2.374920	-8.161440E-5
2.539804	-8.069313E-5
2.707832	-7.965841E-5
2.872614	-7.871838E-5
3.040950	-7.784973E-5
3.205838	-7.681367E-5
3.377398	-7.562460E-5
3.542459	-7.458965E-5
3.707422	-7.353040E-5
3.875525	-7.232623E-5
4.040577	-7.120358E-5
4.212379	-6.981011E-5
4.376587	-6.863693E-5
4.544759	-6.727145E-5
4.710055	-6.594916E-5
4.881588	-6.445546E-5
5.046597	-6.298888E-5
5.211470	-6.140997E-5
5.379569	-5.984959E-5
5.544717	-5.807811E-5
5.716424	-5.636808E-5
5.881367	-5.440243E-5
6.049361	-5.247538E-5
6.214074	-5.037525E-5
6.382366	-4.822158E-5
6.547751	-4.601484E-5
