Bias Voltage (V)	Probe Current (A)
-21.000435	-0.004369
-9.788634	-0.004144
-9.591766	-0.004017
-9.389171	-0.004196
-9.184992	-0.004149
-8.989403	-0.004058
-8.786066	-0.003954
-8.587665	-0.004075
-8.388144	-0.003868
-8.185735	-0.004099
-7.983387	-0.003965
-7.783501	-0.004006
-7.582600	-0.004030
-7.383360	-0.004086
-7.183357	-0.003863
-6.985695	-0.003786
-6.779395	-0.004003
-6.578907	-0.004004
-6.377678	-0.003985
-6.179862	-0.003963
-5.979408	-0.003813
-5.780271	-0.004004
-5.576475	-0.003842
-5.372901	-0.003961
-5.173548	-0.004035
-4.976289	-0.003889
-4.775270	-0.003883
-4.577260	-0.003875
-4.375377	-0.003946
-4.171313	-0.003817
-3.973169	-0.003738
-3.769728	-0.003889
-3.573983	-0.003729
-3.373709	-0.003784
-3.174410	-0.003710
-2.966938	-0.003664
-2.769234	-0.003644
-2.568496	-0.003888
-2.367114	-0.003778
-2.169323	-0.003727
-1.967235	-0.003843
-1.760936	-0.003687
-1.566076	-0.003688
-1.364854	-0.003792
-1.166612	-0.003693
-0.963425	-0.003652
-0.762181	-0.003614
-0.559573	-0.003661
-0.361796	-0.003661
-0.161020	-0.003678
0.040502	-0.003665
0.240734	-0.003487
0.442101	-0.003477
0.647348	-0.003556
0.845058	-0.003459
1.045605	-0.003622
1.244014	-0.003392
1.444561	-0.003338
1.645126	-0.003288
1.843962	-0.003374
2.048606	-0.003416
2.249977	-0.003390
2.447739	-0.003359
2.648292	-0.003318
2.844990	-0.003201
3.048670	-0.003160
3.252132	-0.003116
3.451403	-0.003044
3.651055	-0.003028
3.852711	-0.003058
4.050273	-0.002914
4.251893	-0.003058
4.455692	-0.003021
4.655958	-0.002865
4.855288	-0.002855
5.057670	-0.002905
5.254219	-0.002819
5.456563	-0.002850
5.659880	-0.002595
5.858211	-0.002586
6.059141	-0.002470
6.260256	-0.002384
6.458194	-0.002289
6.657486	-0.002036
6.857419	-0.002086
7.062045	-0.001975
7.263356	-0.001866
7.464446	-0.001613
7.661947	-0.001500
7.862748	-0.001367
8.061201	-0.001246
8.266188	-0.001039
8.467205	-0.001123
8.884061	-0.000443
9.069068	-0.000212
9.294768	1.717128E-5
9.388394	4.644706E-5
9.556806	0.000326
9.795427	0.000477
9.866560	0.000308
10.070482	0.000560
10.269163	0.000785
10.468955	0.001079
10.673855	0.001314
10.875764	0.001787
11.073257	0.002161
11.279144	0.002240
11.465942	0.002712
11.673502	0.002712
11.878270	0.002968
12.072673	0.003540
12.275657	0.003629
12.482224	0.003646
12.676420	0.003983
12.876657	0.004104
13.077669	0.004257
13.289506	0.004558
13.481428	0.004744
13.683882	0.004798
13.882895	0.004814
14.088111	0.005067
14.283699	0.005476
14.491279	0.005700
14.686666	0.005893
14.892035	0.005950
15.092957	0.006011
15.290861	0.006248
15.490206	0.006038
15.694752	0.006451
15.896247	0.006511
16.098295	0.006863
16.296755	0.006882
16.498800	0.007176
16.694550	0.007031
16.901520	0.007404
17.101568	0.007368
17.301159	0.007460
17.504271	0.007536
17.704378	0.007962
17.902573	0.007817
18.108202	0.008002
18.312551	0.008009
18.509108	0.008152
18.709143	0.008376
18.910187	0.008602
19.111818	0.008297
19.308796	0.008519
19.516935	0.008560
19.713728	0.008605
19.917521	0.008737
20.114527	0.008856
20.315681	0.009052
20.505894	0.009258
20.704720	0.009052
20.889572	0.009131
21.123228	0.008955
21.319307	0.008834
21.522324	0.008726
21.721994	0.008888
21.919758	0.009215
22.063375	0.009244
22.249262	0.009299
22.393335	0.009369
22.730211	0.009060
22.859749	0.009196
23.133638	0.009090
23.334820	0.009259
23.444820	0.009208
23.735186	0.009499
23.807476	0.009276
24.135714	0.009532
24.336906	0.010216
24.542089	0.010329
24.743126	0.010742
24.941811	0.010509
25.144043	0.010693
25.341393	0.011025
25.543615	0.011120
25.748926	0.010986
25.947308	0.011123
26.148712	0.011161
26.350304	0.011407
26.548830	0.011278
26.749283	0.011704
26.954185	0.011460
27.151642	0.011665
27.353539	0.011518
27.553823	0.011758
27.751677	0.011666
27.953529	0.011891
28.157677	0.012089
28.355465	0.011855
28.556561	0.012378
28.754890	0.012190
28.955999	0.012307
29.157145	0.012313
29.355385	0.012321
29.559618	0.012447
29.760469	0.012558
29.957767	0.012652
30.160200	0.012656
30.360994	0.012760
30.558662	0.012919
30.762848	0.012523
30.964636	0.012898
31.162804	0.012972
31.363043	0.013072
31.561056	0.013152
31.761919	0.013260
31.966564	0.013266
32.167389	0.013710
32.366711	0.013736
32.567711	0.013360
32.765499	0.013639
32.966240	0.013732
33.170647	0.013666
33.372169	0.013437
33.570286	0.014043
33.769844	0.014152
33.969299	0.013988
34.170387	0.014046
34.374931	0.014029
34.572483	0.014314
34.773533	0.014211
34.974651	0.014237
35.173378	0.014356
35.373211	0.014435
35.571304	0.014424
35.775291	0.014598
35.976685	0.014816
36.179058	0.014537
36.375713	0.014783
36.577805	0.014753
36.775772	0.014939
36.979935	0.014946
37.181583	0.015412
37.378819	0.015073
37.580502	0.015239
37.781811	0.015277
37.979465	0.015361
38.184082	0.015196
38.384743	0.015469
38.583256	0.015397
38.784512	0.015446
38.985050	0.015475
39.183323	0.015526
39.387798	0.015731
39.587593	0.015768
39.786861	0.015869
39.988079	0.015961
