Bias Voltage (V)	Probe Current (A)
-21.000507	-1.269634E-6
-9.755596	-9.655458E-7
-9.521205	-9.569122E-7
-9.290747	-9.510819E-7
-9.056613	-9.447118E-7
-8.822317	-9.388204E-7
-8.588246	-9.293793E-7
-8.350481	-9.227869E-7
-8.115960	-9.168903E-7
-7.888375	-9.102299E-7
-7.651184	-9.000800E-7
-7.417052	-8.950104E-7
-7.183060	-8.887650E-7
-6.948660	-8.788609E-7
-6.714475	-8.712716E-7
-6.483490	-8.609804E-7
-6.249262	-8.536485E-7
-6.014641	-8.474714E-7
-5.780520	-8.382650E-7
-5.543131	-8.302411E-7
-5.315577	-8.270677E-7
-5.081357	-8.187216E-7
-4.843927	-8.155962E-7
-4.609556	-8.028007E-7
-4.375378	-8.002636E-7
-4.141649	-7.933990E-7
-3.910427	-7.833132E-7
-3.676156	-7.768772E-7
-3.441862	-7.701801E-7
-3.207838	-7.634603E-7
-2.973431	-7.585936E-7
-2.735929	-7.500193E-7
-2.508576	-7.454698E-7
-2.274394	-7.368600E-7
-2.036872	-7.304879E-7
-1.802530	-7.224213E-7
-1.568047	-7.131820E-7
-1.340319	-7.075791E-7
-1.102867	-7.023434E-7
-0.869020	-6.948724E-7
-0.634931	-6.866327E-7
-0.400488	-6.800155E-7
-0.166318	-6.721845E-7
0.066398	-6.649902E-7
0.300498	-6.571227E-7
0.534841	-6.486666E-7
0.769295	-6.420207E-7
1.006250	-6.310385E-7
1.233929	-6.206373E-7
1.468232	-6.117543E-7
1.705633	-6.016756E-7
1.939856	-5.884319E-7
2.173824	-5.780765E-7
2.408288	-5.631881E-7
2.639026	-5.464560E-7
2.873175	-5.294514E-7
3.107531	-5.095623E-7
3.341748	-4.847539E-7
3.576054	-4.572676E-7
3.813565	-4.254120E-7
4.041093	-3.889627E-7
4.275603	-3.460116E-7
4.512632	-2.946890E-7
4.746833	-2.343468E-7
4.981148	-1.650019E-7
5.212480	-7.912926E-8
5.446792	1.844530E-8
5.681402	1.352973E-7
5.915466	2.732183E-7
6.149934	4.327891E-7
6.384404	6.250622E-7
6.615996	8.404989E-7
6.848730	1.098510E-6
7.082901	1.402203E-6
7.320747	1.749824E-6
7.555005	2.176032E-6
7.788770	2.648592E-6
8.019891	3.188456E-6
8.254175	3.801588E-6
8.488386	4.533427E-6
8.722764	5.347772E-6
8.957218	6.269536E-6
9.188295	7.324373E-6
9.422569	8.569599E-6
9.657155	9.944314E-6
9.889695	1.149110E-5
10.127059	1.337032E-5
10.361333	1.545925E-5
