Bias Voltage (V)	Probe Current (A)
0.000000	4.725397E-7
1.000000	4.801973E-7
2.000000	4.859700E-7
3.000000	4.868672E-7
4.000000	4.862082E-7
5.000000	4.903264E-7
6.000000	4.883104E-7
7.000000	4.946088E-7
8.000000	4.994045E-7
9.000000	4.964810E-7
10.000000	4.958303E-7
11.000000	5.022293E-7
12.000000	5.012396E-7
13.000000	6.320935E-7
14.000000	5.569603E-7
15.000000	5.313561E-7
16.000000	5.129108E-7
17.000000	5.108638E-7
18.000000	5.049577E-7
19.000000	5.035741E-7
20.000000	5.017428E-7
21.000000	5.024408E-7
22.000000	4.955922E-7
23.000000	4.973269E-7
24.000000	5.066061E-7
25.000000	4.981811E-7
26.000000	4.906611E-7
27.000000	4.882859E-7
28.000000	4.914535E-7
29.000000	4.866720E-7
30.000000	4.857442E-7
31.000000	4.851017E-7
32.000000	4.827800E-7
33.000000	4.843914E-7
34.000000	4.794932E-7
35.000000	4.799015E-7
36.000000	4.806611E-7
37.000000	9.900000E+37
38.000000	5.958573E-7
39.000000	5.294182E-7
40.000000	5.010305E-7
41.000000	4.870069E-7
42.000000	4.777398E-7
43.000000	5.527008E-7
44.000000	5.040113E-7
45.000000	4.767238E-7
46.000000	4.597852E-7
47.000000	4.506106E-7
48.000000	4.388206E-7
49.000000	4.322553E-7
50.000000	4.174926E-7
51.000000	4.079649E-7
52.000000	3.966595E-7
53.000000	3.819666E-7
54.000000	3.695586E-7
55.000000	3.557568E-7
56.000000	3.423635E-7
57.000000	3.311257E-7
58.000000	9.900000E+37
59.000000	3.113540E-7
60.000000	2.950968E-7
61.000000	2.803835E-7
62.000000	2.679038E-7
63.000000	2.559475E-7
64.000000	2.436608E-7
65.000000	2.319508E-7
66.000000	2.197215E-7
67.000000	2.092085E-7
68.000000	2.117972E-7
69.000000	1.920890E-7
70.000000	1.813686E-7
71.000000	1.711677E-7
72.000000	1.618412E-7
73.000000	1.508929E-7
74.000000	1.440094E-7
75.000000	1.359311E-7
76.000000	1.322502E-7
77.000000	1.220410E-7
78.000000	1.135213E-7
79.000000	1.072312E-7
80.000000	1.021687E-7
81.000000	9.460152E-8
82.000000	8.856797E-8
83.000000	8.345208E-8
84.000000	7.737128E-8
85.000000	7.272143E-8
86.000000	6.729553E-8
87.000000	6.270106E-8
88.000000	5.726901E-8
89.000000	5.473775E-8
90.000000	4.983328E-8
91.000000	4.577464E-8
92.000000	4.527372E-8
93.000000	3.927917E-8
94.000000	3.586514E-8
95.000000	3.179418E-8
96.000000	2.749536E-8
97.000000	2.421888E-8
98.000000	2.144948E-8
99.000000	1.874371E-8
100.000000	1.562531E-8
101.000000	1.398502E-8
102.000000	1.154819E-8
103.000000	9.351557E-9
104.000000	7.191873E-9
105.000000	5.155367E-9
106.000000	2.854032E-9
107.000000	1.533998E-9
108.000000	-5.517829E-10
109.000000	-2.481546E-9
110.000000	-3.766687E-9
111.000000	-5.117522E-9
112.000000	-6.521731E-9
113.000000	-7.958788E-9
114.000000	-9.607300E-9
115.000000	-1.072820E-8
116.000000	-1.216115E-8
117.000000	-1.331901E-8
118.000000	-1.403754E-8
119.000000	-1.488130E-8
120.000000	-1.582976E-8
121.000000	-1.716006E-8
122.000000	-1.752959E-8
123.000000	-1.807568E-8
124.000000	-1.796276E-8
125.000000	-1.923148E-8
126.000000	-1.992538E-8
127.000000	-2.026206E-8
128.000000	-2.245049E-8
129.000000	-2.209122E-8
130.000000	-2.287956E-8
131.000000	-2.318544E-8
132.000000	-2.334147E-8
133.000000	-2.363914E-8
134.000000	-2.435356E-8
135.000000	-2.383211E-8
136.000000	-2.372126E-8
137.000000	-2.420985E-8
138.000000	-2.427760E-8
139.000000	-2.461428E-8
140.000000	-2.464508E-8
141.000000	-2.489554E-8
142.000000	-2.517064E-8
143.000000	-2.514189E-8
144.000000	-2.515215E-8
145.000000	-2.512548E-8
146.000000	-2.530613E-8
147.000000	-2.552374E-8
148.000000	-2.548678E-8
149.000000	-2.544983E-8
150.000000	-2.548062E-8
