Bias Voltage (V)	Probe Current (A)
-21.000523	-3.511420E-6
-9.754264	-2.853109E-6
-9.519885	-2.755336E-6
-9.289227	-2.753985E-6
-9.055162	-2.726427E-6
-8.821059	-2.714503E-6
-8.586590	-2.804493E-6
-8.349327	-2.672225E-6
-8.114635	-2.695997E-6
-7.887078	-2.649452E-6
-7.649932	-2.618040E-6
-7.415916	-2.637403E-6
-7.181854	-2.601938E-6
-6.947565	-2.597051E-6
-6.713245	-2.559110E-6
-6.482409	-2.667462E-6
-6.248052	-2.548457E-6
-6.013244	-2.509862E-6
-5.779661	-2.487912E-6
-5.542208	-2.482761E-6
-5.314492	-2.460324E-6
-5.080178	-2.451219E-6
-4.842705	-2.456853E-6
-4.608608	-2.513467E-6
-4.374396	-2.406721E-6
-4.140408	-2.389813E-6
-3.909480	-2.368002E-6
-3.674734	-2.403194E-6
-3.440903	-2.355922E-6
-3.206941	-2.330582E-6
-2.972503	-2.305844E-6
-2.735021	-2.281804E-6
-2.507712	-2.262430E-6
-2.273571	-2.239835E-6
-2.036256	-2.233061E-6
-1.801757	-2.252835E-6
-1.567332	-2.185154E-6
-1.339752	-2.175597E-6
-1.102123	-2.162254E-6
-0.868335	-2.135676E-6
-0.634404	-2.145832E-6
-0.400139	-2.098203E-6
-0.165895	-2.076810E-6
0.067057	-2.071833E-6
0.301272	-2.061676E-6
0.535639	-2.036552E-6
0.770016	-2.011568E-6
1.006985	-1.998384E-6
1.234474	-1.982546E-6
1.469054	-1.957096E-6
1.706106	-1.954905E-6
1.940675	-1.902536E-6
2.174718	-1.875756E-6
2.408890	-1.873053E-6
2.639551	-1.818719E-6
2.873664	-1.799962E-6
3.108144	-1.843315E-6
3.342336	-1.754239E-6
3.576534	-1.742537E-6
3.813893	-1.699095E-6
4.041567	-1.679065E-6
4.275783	-1.642212E-6
4.512712	-1.602071E-6
4.746704	-1.562025E-6
4.980781	-1.530757E-6
5.212228	-1.510590E-6
5.446399	-1.440609E-6
5.680615	-1.410237E-6
5.914647	-1.361845E-6
6.148661	-1.323714E-6
6.382851	-1.265888E-6
6.613890	-1.226595E-6
6.847980	-1.175076E-6
7.082276	-1.160568E-6
7.319944	-1.056460E-6
7.552802	-9.968448E-7
7.786322	-9.243075E-7
8.017586	-8.368224E-7
8.251898	-7.594805E-7
8.486115	-6.659843E-7
8.720430	-5.581533E-7
8.954996	-4.488091E-7
9.186055	-3.250517E-7
9.420391	-1.740000E-7
9.654737	-5.757308E-10
9.889693	1.950087E-7
10.127670	4.237819E-7
10.362478	6.749152E-7
10.588582	9.523785E-7
10.826187	1.255868E-6
11.059645	1.621994E-6
11.293917	2.050423E-6
11.528296	2.519102E-6
11.763219	3.021558E-6
11.994162	3.561046E-6
12.227045	4.208869E-6
12.287183	5.024713E-6
12.696448	5.901442E-6
12.935064	7.069348E-6
13.160438	8.314504E-6
13.389713	9.371762E-6
13.634800	1.088580E-5
13.843659	1.278660E-5
14.104398	1.469207E-5
14.339499	1.720910E-5
14.570236	1.961179E-5
14.805065	2.281172E-5
15.040440	2.643928E-5
15.274037	3.032969E-5
15.509508	3.545272E-5
15.748059	4.006871E-5
15.977432	4.056568E-5
16.053850	5.305674E-5
16.450041	6.071050E-5
16.684050	6.853724E-5
16.918518	7.582659E-5
17.150616	8.488307E-5
17.357388	9.254552E-5
17.578358	9.801416E-5
17.719532	0.000104
18.088387	0.000117
18.323259	0.000126
18.554714	0.000133
18.789385	0.000135
19.024214	0.000152
19.262238	0.000159
19.496914	0.000167
19.725077	0.000175
19.959587	0.000185
20.197968	0.000193
20.432411	0.000201
20.667603	0.000210
20.902472	0.000217
21.134090	0.000225
21.368330	0.000235
21.604183	0.000242
21.838079	0.000249
22.072790	0.000257
22.310974	0.000265
22.539158	0.000266
22.773903	0.000285
23.011673	0.000293
23.246279	0.000300
23.481419	0.000308
23.712679	0.000316
23.947435	0.000316
24.181910	0.000328
24.416613	0.000343
24.651175	0.000350
24.886847	0.000359
25.117441	0.000371
25.352459	0.000372
25.587214	0.000383
25.825537	0.000392
26.060078	0.000398
26.295067	0.000406
26.525242	0.000414
26.760637	0.000422
26.994484	0.000431
27.229130	0.000440
27.463509	0.000447
27.694307	0.000444
27.928003	0.000462
28.162359	0.000471
28.396421	0.000478
28.633680	0.000484
28.867338	0.000492
29.095646	0.000499
29.333284	0.000511
29.567568	0.000517
29.801050	0.000524
30.035189	0.000531
30.269936	0.000537
30.500422	0.000545
30.734756	0.000551
30.968967	0.000560
31.203310	0.000561
31.439999	0.000577
31.667908	0.000579
31.901997	0.000583
32.139740	0.000594
32.374233	0.000602
32.607880	0.000606
32.842117	0.000616
33.073013	0.000621
33.307438	0.000631
33.542114	0.000637
33.775337	0.000638
34.010090	0.000647
34.247780	0.000661
34.475182	0.000662
34.709324	0.000668
34.945873	0.000676
35.180737	0.000685
35.415272	0.000691
35.646389	0.000696
35.880116	0.000702
36.102551	0.000709
36.348953	0.000718
36.581905	0.000724
36.816364	0.000728
37.047543	0.000736
37.282017	0.000745
37.515625	0.000748
37.726528	0.000753
37.987991	0.000758
38.172180	0.000766
38.451221	0.000772
38.687206	0.000778
38.920753	0.000784
39.155266	0.000792
39.388916	0.000798
39.620911	0.000803
39.854877	0.000812
40.089607	0.000814
40.323544	0.000824
40.561371	0.000830
40.796688	0.000833
41.025330	0.000839
41.259460	0.000845
41.498314	0.000855
41.720531	0.000863
41.967548	0.000866
42.191418	0.000872
42.414700	0.000877
42.665359	0.000882
42.900990	0.000886
43.136215	0.000894
43.355183	0.000902
43.595898	0.000899
43.833603	0.000913
44.067757	0.000917
44.299049	0.000926
44.525146	0.000926
44.775631	0.000934
44.926689	0.000939
45.245331	0.000949
45.354591	0.000948
45.676941	0.000960
45.885143	0.000963
46.117775	0.000965
46.325760	0.000972
46.650959	0.000977
46.773319	0.000978
47.047218	0.000986
47.358562	0.000995
47.586494	0.001005
47.824795	0.001005
48.059368	0.001013
48.293819	0.001018
48.529408	0.001021
48.763985	0.001030
48.995197	0.001030
49.229820	0.001040
49.464546	0.001045
49.699272	0.001048
49.937748	0.001051
50.165318	0.001063
50.399963	0.001064
50.638344	0.001071
50.872856	0.001077
51.107975	0.001083
51.342503	0.001086
51.573860	0.001093
51.808228	0.001096
52.043022	0.001102
52.277767	0.001112
52.512379	0.001111
52.750355	0.001118
52.978943	0.001124
53.213867	0.001126
53.451607	0.001131
53.685852	0.001136
53.919975	0.001140
54.151016	0.001152
54.385128	0.001152
54.619530	0.001155
54.853718	0.001160
55.087681	0.001171
55.321926	0.001166
55.552822	0.001176
55.787228	0.001183
56.021259	0.001183
56.258675	0.001194
56.493111	0.001198
56.727009	0.001203
56.957832	0.001207
57.192055	0.001205
57.426525	0.001209
57.660706	0.001218
57.894802	0.001221
58.125767	0.001227
58.359730	0.001228
58.593559	0.001237
58.827827	0.001244
59.065392	0.001241
59.299664	0.001255
59.527279	0.001258
59.764889	0.001262
59.998943	0.001266
