Bias Voltage (V)	Probe Current (A)
0.000000	5.383298E-9
1.000000	4.357026E-8
2.000000	5.554925E-8
3.000000	7.433580E-8
4.000000	4.601328E-8
5.000000	3.241863E-8
6.000000	3.145169E-8
7.000000	2.717950E-8
8.000000	6.781771E-8
9.000000	1.803154E-8
10.000000	6.867584E-9
11.000000	1.047668E-8
12.000000	7.676447E-9
13.000000	1.033912E-8
14.000000	-1.069343E-8
15.000000	2.372438E-8
16.000000	-2.220850E-9
17.000000	-1.740251E-8
18.000000	-1.957043E-8
19.000000	-3.523249E-8
20.000000	-1.492869E-8
21.000000	-1.866508E-8
22.000000	-1.948010E-8
23.000000	-4.027866E-8
24.000000	-1.676404E-8
25.000000	-2.677838E-8
26.000000	-3.227212E-8
27.000000	-1.339512E-8
28.000000	-6.241369E-8
29.000000	-6.973455E-8
30.000000	-6.545001E-8
31.000000	-1.449489E-7
32.000000	-1.155628E-7
33.000000	-1.259098E-7
34.000000	-9.029701E-8
35.000000	-1.242366E-7
36.000000	-1.479668E-7
37.000000	-1.038897E-7
38.000000	-1.449058E-7
39.000000	-1.248443E-7
40.000000	-8.288995E-8
41.000000	-1.000589E-7
42.000000	-5.703493E-8
43.000000	-7.669205E-8
44.000000	-6.566765E-8
45.000000	-5.973663E-8
46.000000	-5.123533E-8
47.000000	-4.778636E-8
48.000000	-4.386518E-8
49.000000	-3.883954E-8
50.000000	-2.578680E-8
51.000000	-3.191900E-8
52.000000	-2.908797E-8
53.000000	-2.686871E-8
54.000000	-2.552813E-8
55.000000	-2.347722E-8
56.000000	-2.233166E-8
57.000000	-1.577656E-8
58.000000	-2.021301E-8
59.000000	-1.163163E-8
60.000000	-1.863017E-8
61.000000	-1.785005E-8
62.000000	-1.723416E-8
63.000000	-1.660801E-8
64.000000	-1.624874E-8
65.000000	-1.539471E-8
66.000000	-1.474802E-8
67.000000	-1.489584E-8
68.000000	-1.440107E-8
69.000000	-1.392684E-8
70.000000	-1.376055E-8
71.000000	-1.190056E-8
72.000000	-1.232553E-8
73.000000	-1.288188E-8
74.000000	-1.324731E-8
75.000000	-1.037727E-8
76.000000	-1.264373E-8
77.000000	-1.204838E-8
78.000000	-1.185334E-8
79.000000	-1.146123E-8
80.000000	-1.182460E-8
81.000000	-1.150229E-8
82.000000	-1.169116E-8
83.000000	-1.178765E-8
84.000000	-1.153103E-8
85.000000	-1.101574E-8
86.000000	-1.109375E-8
87.000000	-1.053124E-8
88.000000	-1.148792E-8
89.000000	-1.090693E-8
90.000000	-1.088640E-8
91.000000	-1.049223E-8
92.000000	-1.100753E-8
93.000000	-1.083714E-8
94.000000	-1.090693E-8
95.000000	-1.075501E-8
96.000000	-1.046144E-8
97.000000	-1.064826E-8
98.000000	-1.036495E-8
99.000000	-1.024588E-8
100.000000	-1.027462E-8
101.000000	-1.014529E-8
102.000000	-1.034648E-8
103.000000	-1.024588E-8
104.000000	-9.484227E-9
105.000000	-9.701840E-9
106.000000	-1.007548E-8
107.000000	-1.015349E-8
108.000000	-9.911245E-9
109.000000	-9.917409E-9
110.000000	-9.900984E-9
111.000000	-1.010217E-8
112.000000	-9.566349E-9
113.000000	-9.825026E-9
114.000000	-9.915353E-9
115.000000	-9.917408E-9
116.000000	-9.892768E-9
117.000000	-9.703896E-9
118.000000	-9.937934E-9
119.000000	-9.221451E-9
120.000000	-9.732637E-9
121.000000	-9.525290E-9
122.000000	-9.689527E-9
123.000000	-9.330258E-9
124.000000	-9.627935E-9
125.000000	-6.924185E-9
126.000000	-9.211187E-9
127.000000	-9.558138E-9
128.000000	-9.808601E-9
129.000000	-9.145494E-9
130.000000	-9.034633E-9
131.000000	-9.324098E-9
132.000000	-9.428800E-9
133.000000	-9.369264E-9
134.000000	-9.662839E-9
135.000000	-1.186156E-8
136.000000	-9.053107E-9
137.000000	-9.100324E-9
138.000000	-9.412378E-9
139.000000	-8.634301E-9
140.000000	-8.921717E-9
141.000000	-8.876552E-9
142.000000	-8.847811E-9
143.000000	-8.714369E-9
144.000000	-9.246087E-9
145.000000	-8.589138E-9
146.000000	-9.083903E-9
147.000000	-8.556292E-9
148.000000	-8.895030E-9
149.000000	-8.794431E-9
150.000000	-9.525289E-9
151.000000	-8.465961E-9
152.000000	-8.825227E-9
153.000000	-8.665097E-9
154.000000	-8.515229E-9
155.000000	-8.765691E-9
156.000000	-8.390001E-9
157.000000	-8.387948E-9
158.000000	-8.416690E-9
159.000000	-8.761587E-9
160.000000	-8.129272E-9
